,Malaria,HIV/AIDS,Drug Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Exposure to Forces of Nature,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Acute Hepatitis,gdp/percap,Adolescent birth rate (per 1000 women aged 15-19 years),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),Age-standardized suicide rates (per 100 000 population),Estimated number of road traffic deaths,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_x","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Estimates of number of homicides,Estimates of rates of homicides per 100 000 population,Yellow fever - number of reported cases,Mumps - number of reported cases
581,5876.0,6819.0,7.0,0.0,103.0,176.0,704.0,0.0006458807242086,0.0007495338084374,6.595106101517369e-06,0.0,1.934564456445095e-05,0.000130693019245,0.0004375852898356,0.0001997217964409,7.73825782578038e-05,549.9219304315233,25.4,35.0,24.8346,1608.109,0.09439,0.01,866.0444,4.69959,0.0,0.0
582,6131.0,6799.0,7.0,0.0,104.0,417.0,729.0,0.0006521883893659,0.0007232472450332,6.488907478604157e-06,0.0,4.435859702586776e-05,0.0001282888921179,0.0003989082466355,0.0001954118530851,7.754776314594148e-05,710.1630545436287,16.66923076923077,31.0,15.6391,1648.094,0.04712,0.15,1117.736,4.62825,0.0,0.0
583,6754.0,6455.0,8.0,52.0,106.0,2368.0,744.0,0.0006999721731524,0.0006689843615189,6.4255662918937855e-06,5.389184631910917e-06,0.0002454151770839,0.0001279931350078,0.0003825284706996,0.0001968088772307,7.710679550272542e-05,772.2079748532354,20.2,32.0,15.5807,1683.225,0.04715,0.0,243.6822,10.89102,0.0,0.0
584,7343.0,6037.0,8.0,29.0,110.0,378.0,727.0,0.0007427930211242,0.0006106824824359,6.4740233354148e-06,2.933541823859831e-06,3.823720032479366e-05,0.0001287723704059,0.0003668950412117,0.0002015039763147,7.354085882572748e-05,878.7475111679431,28.6,33.0,24.9395,2658.0,0.14133,0.01,1146.928,16.6772,0.0,0.0
585,7664.0,5313.0,8.0,0.0,112.0,1057.0,672.0,0.0007579610886275,0.0005254497995665,6.527326702690257e-06,0.0,0.0001045361261324,0.0001299531407171,0.000344464831901,0.0002017537344467,6.646005370011899e-05,1031.51541680393,16.66923076923077,30.0,15.6733,2791.0,0.16452,0.45,1171.687,4.55895,0.0,0.0
586,7952.0,4586.0,9.0,6.0,114.0,138.0,619.0,0.0007698557333727,0.0004439837013641,6.680086217646116e-06,5.808770624040101e-07,1.3360172435292232e-05,0.0001311814032595,0.0003251943421025,0.0002015643406541,5.992715027134704e-05,901.8116393822256,28.6,27.0,24.5857,2882.0,0.18742,0.02,925.8261,16.05802,3.0,0.0
587,7754.0,4461.0,9.0,24.0,117.0,37.0,583.0,0.0007354319225635,0.0004231057269223,6.734029726852579e-06,2.276291738654393e-06,3.509283097092189e-06,0.0001322146118201,0.0003071096937401,0.0002038229560986,5.529492015147962e-05,1014.9415789725274,17.6,25.0,15.9656,2948.0,0.55,0.05,263.4482,15.71235,79.0,0.0
588,7226.0,4669.0,10.0,0.0,118.0,15.0,549.0,0.0006716271902124,0.000433964482577,6.785051880086756e-06,0.0,1.39418874248358e-06,0.0001332844437814,0.0002883182319456,0.0002025291513247,5.102730797489903e-05,1132.3600966451636,16.66923076923077,23.0,15.8915,1039.131,0.6,0.56,1223.49,9.898,122.0,0.0
589,6773.0,4905.0,10.0,20.0,119.0,17.0,519.0,0.0006170934053278,0.0004468984428072,6.833309523045929e-06,1.822215872812248e-06,1.5488834918904104e-06,0.0001337506450644,0.0002707812786999,0.0002016281863266,4.7286501899477824e-05,1130.7760598736402,9.9,23.0,23.9785,3028.0,0.63,0.38,971.1596,9.72852,48.0,0.0
590,6526.0,5158.0,11.0,0.0,122.0,42.0,497.0,0.0005830194295736,0.000460805120708,6.789683825865336e-06,0.0,3.75219369324137e-06,0.0001332922140551,0.0002606881237351,0.0002065493290184,4.440095870335621e-05,1160.8572583328182,6.0,23.0,7.88,2103.31,0.65,0.01,1276.77,4.24676,5.0,0.0
591,6219.0,5243.0,11.0,0.0,123.0,53.0,471.0,0.0005449475719076,0.0004594243639671,6.834846536226833e-06,0.0,4.644190595128489e-06,0.0001335423861693,0.000243863819363,0.0002051330223244,4.12719579302928e-05,1227.0302057280044,16.66923076923077,22.0,14.5973,3365.0,0.68,0.01,1022.377,4.21509,0.0,0.0
592,6416.0,4788.0,12.0,0.0,126.0,543.0,452.0,0.0005516076405223,0.0004116423601653,6.877900754643271e-06,0.0,4.66837513721412e-05,0.0001332593271212,0.0002333327831012,0.0002026401509836,3.886013926373448e-05,941.5846133106638,11.4,23.0,21.3249,2404.291,0.66,0.01,297.5712,9.55485,0.0,0.0
