,Malaria,HIV/AIDS,Drug Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Acute Hepatitis,per_capita-Malaria,per_capita-Drowning,per_capita-HIV/AIDS,per_capita-Drug Use Disorders,per_capita-Alcohol Use Disorders,per_capita-Exposure to Forces of Nature,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Acute Hepatitis,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Adolescent birth rate (per 1000 women aged 15-19 years),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),Age-standardized suicide rates (per 100 000 population),Estimated number of road traffic deaths,Estimated road traffic death rate (per 100 000 population),"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_x","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Mortality rate attributed to unintentional poisoning (per 100 000 population),Crude suicide rates (per 100 000 population),Estimates of number of homicides,Estimates of rates of homicides per 100 000 population,Yellow fever - number of reported cases,Mumps - number of reported cases
588,7226.0,4669.0,10.0,0.0,118.0,15.0,549.0,0.0006716271902124,5.297917221437604e-05,0.000433964482577,9.2945916165572e-07,6.785051880086756e-06,0.0,1.39418874248358e-06,0.0001332844437814,0.0002883182319456,0.0002025291513247,5.102730797489903e-05,1132.3600966451636,25.5,16.66923076923077,23.0,15.8915,1039.131,16.77522,0.6,0.56,2.79708,3.87,1223.49,9.898,122.0,0.0
589,6773.0,4905.0,10.0,20.0,119.0,17.0,519.0,0.0006170934053278,5.211537396243028e-05,0.0004468984428072,9.11107936406124e-07,6.833309523045929e-06,1.822215872812248e-06,1.5488834918904104e-06,0.0001337506450644,0.0002707812786999,0.0002016281863266,4.7286501899477824e-05,1130.7760598736402,24.18,9.9,23.0,23.9785,3028.0,15.93499,0.63,0.38,2.91357,3.88,971.1596,9.72852,48.0,0.0
590,6526.0,5158.0,11.0,0.0,122.0,42.0,497.0,0.0005830194295736,5.253071170537918e-05,0.000460805120708,9.827173958489303e-07,6.789683825865336e-06,0.0,3.75219369324137e-06,0.0001332922140551,0.0002606881237351,0.0002065493290184,4.440095870335621e-05,1160.8572583328182,25.49,6.0,23.0,7.88,2103.31,31.88586,0.65,0.01,4.09916,7.35,1276.77,4.24676,5.0,0.0
591,6219.0,5243.0,11.0,0.0,123.0,53.0,471.0,0.0005449475719076,5.1611853972276985e-05,0.0004594243639671,9.638886140832714e-07,6.834846536226833e-06,0.0,4.644190595128489e-06,0.0001335423861693,0.000243863819363,0.0002051330223244,4.12719579302928e-05,1227.0302057280044,26.54,16.66923076923077,22.0,14.5973,3365.0,16.48499,0.68,0.01,4.89095,3.71,1022.377,4.21509,0.0,0.0
592,6416.0,4788.0,12.0,0.0,126.0,543.0,452.0,0.0005516076405223,5.175620317869061e-05,0.0004116423601653,1.0316851131964906e-06,6.877900754643271e-06,0.0,4.66837513721412e-05,0.0001332593271212,0.0002333327831012,0.0002026401509836,3.886013926373448e-05,941.5846133106638,21.66,11.4,23.0,21.3249,2404.291,25.72466,0.66,0.01,3.89934,6.78,297.5712,9.55485,0.0,0.0
593,6617.0,4714.0,12.0,0.0,127.0,41.0,434.0,0.0005582806340151,5.070676455237739e-05,0.0003977232747086,1.012447877917685e-06,6.918393832437514e-06,0.0,3.459196916218757e-06,0.0001339806025111,0.0002207980080425,0.0002028270582095,3.661686491802294e-05,860.7494375430185,21.81,16.66923076923077,25.0,7.24,3990.0,18.4751,0.64,0.11,4.61202,9.81,1382.706,14.84673,1.0,0.0
594,6737.0,5104.0,13.0,0.0,129.0,90.0,420.0,0.0005578840980673,5.0347859822614885e-05,0.000422657033774,1.0765167396282789e-06,6.955954317598109e-06,0.0,7.4528081974265455e-06,0.0001349786373533,0.0002089270564678,0.0002037928997096,3.477977158799054e-05,834.6317091318017,19.71,5.3,24.0,13.7679,2880.497,38.43223,0.58,0.11,2.96214,3.57,1082.998,14.44961,0.0,0.0
595,6709.0,4956.0,14.0,0.0,131.0,350.0,412.0,0.0005555654466281,5.067909574250051e-05,0.0004104013047382,1.1593257195996848e-06,7.121572277540921e-06,0.0,2.898314298999212e-05,0.0001391190863519,0.0002013086303104,0.0002087614385079,3.411729974821929e-05,914.3767568442656,20.15,3.9,23.0,13.5656,4739.519,30.62154,0.55,0.11,3.57826,3.44,1409.275,4.04847,416.0,0.0
596,7194.0,4695.0,14.0,0.0,133.0,276.0,409.0,0.0005742179493155,4.9407966447920014e-05,0.0003747502463214,1.1174661232162847e-06,7.024072774502361e-06,0.0,2.203004642912104e-05,0.000137288695138,0.0001896499649115,0.0002056137666717,3.2645974599675746e-05,877.450363751187,18.58,16.66923076923077,22.0,6.88,1726.364,43.27251,0.55,0.11,4.26117,3.3,1429.768,8.96581,0.0,0.0
597,0.0,518.0,19.0,16.0,43.0,1.0,7.0,0.0,3.826932645523568e-05,3.4178467420365655e-05,1.2536503493956514e-06,3.351865144699952e-05,1.0557055573858117e-06,6.598159733661323e-08,0.0001388912623935,3.015358998283225e-05,0.0001571021832584,4.618711813562929e-07,5159.431003736472,229.19,2.7,3.6,2.9,2751.0,17.93076,2.44887,3.32,0.27217,17.9034,99.8226,5.67388,0.0,2352.0
598,0.0,578.0,23.0,9.0,43.0,0.0,6.0,0.0,3.854711425932112e-05,3.769920819270322e-05,1.5001415024778098e-06,3.554683125436549e-05,5.870118922739256e-07,0.0,0.0001485792322888,3.098118320334607e-05,0.0001572539635858,3.913412615159504e-07,4663.352919311237,208.17,2.8,4.1,10.3841,501.638,6.3643,2.3798,0.01,0.36806,17.8654,85.52464,5.57264,0.0,2262.0
599,0.0,474.0,29.0,21.0,48.0,0.0,6.0,0.0,3.715184416658964e-05,3.0572871762089394e-05,1.8704921542206591e-06,3.721634389604553e-05,1.354494318573581e-06,0.0,0.0001532513571871,3.166936716283944e-05,0.0001517033636802,3.869983767353088e-07,4533.169985618495,201.78,2.7,4.0,2.94,443.9081,26.72096,2.38259,3.2,0.4243,9.64,832.4922,1.05661,0.0,0.0
600,0.0,452.0,32.0,0.0,48.0,0.0,6.0,0.0,3.630700231267309e-05,2.884141484240464e-05,2.0418700773383817e-06,3.700889515175817e-05,0.0,0.0,0.0001611163107899,3.330800563658235e-05,0.0001513536194827,3.828506395009465e-07,4881.728504276569,216.13,2.4,4.0,17.023,2323.178,18.0004,2.59722,3.46,0.38119,2.99,754.7644,9.67816,0.0,1826.0
601,0.0,428.0,36.0,5.0,51.0,0.0,6.0,0.0,3.447920704896445e-05,2.702765680761316e-05,2.273354310920733e-06,3.637366897473173e-05,3.1574365429454624e-07,0.0,0.0001656391210429,3.384771974037536e-05,0.0001509254667527,3.788923851534555e-07,6257.218294616741,258.79,2.2,4.2,10.0055,524.1291,17.83331,2.54408,2.54,0.37497,17.3918,854.3689,0.96128,0.0,1491.0
602,0.0,416.0,38.0,58.0,50.0,0.0,5.0,0.0,3.2009917072433006e-05,2.600805762135181e-05,2.375736032719637e-06,3.5511001752230366e-05,3.6261234183615513e-06,0.0,0.0001653012123818,3.4135575628024255e-05,0.0001479833470907,3.1259684641047855e-07,7648.932234817999,303.68,2.3,3.8,9.49,2869.0,17.72879,2.59,2.59,0.40939,3.22,952.1649,10.61142,0.0,1587.0
603,0.0,438.0,42.0,18.0,48.0,0.0,5.0,0.0,3.0091323451697697e-05,2.711934088856706e-05,2.600484742739307e-06,3.467312990319076e-05,1.1144934611739888e-06,0.0,0.0001646973670401,3.368246904881388e-05,0.0001459986434137,3.095815169927747e-07,9529.53825607159,334.9,1.3,3.7,16.7671,3055.0,8.02687,2.22,2.22,0.45062,10.0398,827.9253,1.16353,0.0,1497.0
604,0.0,416.0,47.0,15.0,67.0,0.0,5.0,0.0,2.8766209897281324e-05,2.5515444173281515e-05,2.882754509962094e-06,3.3795696489130087e-05,9.200280350942854e-07,0.0,0.0001660343927333,3.404103729848856e-05,0.0001474498264244,3.066760116980952e-07,10582.591806070848,374.48,1.4,3.4,17.7307,2204.0,13.33317,2.83,2.83,0.39571,4.16,668.0888,8.21312,0.0,1387.0
605,0.0,412.0,48.0,10.0,46.0,0.0,5.0,0.0,2.7956484880434064e-05,2.50392864581279e-05,2.9171984223061632e-06,3.324390702086399e-05,6.07749671313784e-07,0.0,0.0001618437374708,3.275770728381296e-05,0.0001455560462796,3.03874835656892e-07,10910.68674922784,409.19,1.5,2.7,11.759,505.5348,5.95734,2.17,2.17,0.48589,12.2191,89.13858,7.94764,0.0,1243.0
606,0.0,458.0,52.0,3.0,45.0,0.0,5.0,0.0,2.7707994123736795e-05,2.758752458406837e-05,3.132208031378942e-06,3.270748001997626e-05,1.807043095026313e-07,0.0,0.0001675128949089,3.324959294848416e-05,0.0001468523688558,3.011738491710521e-07,10333.87711275714,390.99,1.6,2.9,19.9539,1666.999,5.00231,2.85,2.85,0.26623,20.6145,834.4254,10.04107,0.0,825.0
607,0.0,451.0,53.0,508.0,42.0,0.0,5.0,0.0,2.5497878928785737e-05,2.693101498098916e-05,3.164842115282539e-06,3.188727716152596e-05,3.033471310497226e-05,0.0,0.000172872036297,3.361898322460508e-05,0.0001432538912181,2.985700108757112e-07,12951.907357786178,458.9,1.5,3.2,11.0055,447.9056,20.11545,7.55,3.1,0.33801,11.6098,692.2702,8.24426,0.0,891.0
608,0.0,510.0,54.0,1.0,40.0,0.0,5.0,0.0,2.3921235188373805e-05,3.019759887641248e-05,3.19739282220838e-06,3.0671286701924833e-05,5.921097818904408e-08,0.0,0.000173843431963,3.244761604759615e-05,0.000139382642657,2.960548909452204e-07,14866.929247617942,523.76,1.4,2.7,11.0036,441.3045,5.04202,7.02,0.22,0.27889,11.6769,86.80736,8.64587,0.0,950.0
609,0.0,483.0,57.0,1.0,39.0,0.0,5.0,0.0,2.249138280544942e-05,2.836380651444405e-05,3.3472815141269374e-06,2.99493609158726e-05,5.872423708994627e-08,0.0,0.0001761139870327,3.106512142058158e-05,0.0001364164027599,2.9362118544973136e-07,15686.535659940628,561.14,1.4,2.8,3.56,2041.0,11.72964,8.35,2.65,0.21392,10.5201,718.8007,1.06502,0.0,876.0
610,0.0,547.0,58.0,4.0,39.0,2.0,5.0,0.0,2.167028498288863e-05,3.1864639477527096e-05,3.378700346794464e-06,2.889371331051817e-05,2.3301381702030785e-07,1.1650690851015392e-07,0.0001805857081907,2.994227548710956e-05,0.0001367208571366,2.912672712753848e-07,16151.877007850935,617.43,1.5,2.8,9.15,456.5968,5.11623,7.23,1.71,0.30084,16.19,716.0768,4.07521,0.0,821.0
611,0.0,539.0,61.0,3.0,38.0,1.0,5.0,0.0,2.1153985757703403e-05,3.115300088361239e-05,3.525664292950567e-06,2.8031921017721724e-05,1.733933258828148e-07,5.77977752942716e-08,0.0001855308586946,2.832090989419308e-05,0.0001343220297838,2.88988876471358e-07,14992.627315783462,598.61,1.4,2.2,3.32,1729.567,19.7895,7.92,2.85,0.2337,9.85,880.4028,8.84903,0.0,863.0
612,0.0,556.0,64.0,227.0,37.0,0.0,5.0,0.0,2.0763209703141165e-05,3.189045468217262e-05,3.670843704422747e-06,2.787546938046024e-05,1.3020023764124433e-05,0.0,0.0001931781499452,2.7932826313341844e-05,0.000132723942688,2.867846644080271e-07,13909.51507925237,585.85,1.2,2.5,3.87,1712.832,19.36541,7.89,2.61,0.21092,15.9967,814.3603,8.15893,0.0,1346.0
613,0.0,522.0,66.0,13.0,37.0,0.0,5.0,0.0,2.026726833886053e-05,2.971773615978988e-05,3.757414916755042e-06,2.7383584469078413e-05,7.400968775426597e-07,0.0,0.0001956132977874,2.7497445527161897e-05,0.0001317372442025,2.846526452087153e-07,14187.600211963743,589.88,1.1,2.3,15.4526,2245.0,5.46581,7.73,2.395625,0.30107,3.42,638.2478,4.0068,0.0,1265.0
614,0.0,512.0,67.0,31.0,38.0,0.0,5.0,0.0,2.0177270604214868e-05,2.8937710222291352e-05,3.786770673620157e-06,2.8429039534790137e-05,1.7520879236152966e-06,0.0,0.0002024509336254,2.8824672291735527e-05,0.0001310674804794,2.82594826389564e-07,15609.520868384512,674.65,0.8,2.2,14.1424,2061.662,5.53001,7.77,2.395625,0.49999,9.27,740.5498,7.10596,1.0,6069.0
615,0.0,503.0,69.0,0.0,38.0,0.0,5.0,0.0,2.0177270604214868e-05,2.8429039534790137e-05,3.899808604175983e-06,2.922030504868092e-05,0.0,0.0,0.0002095723232505,2.995505159729378e-05,0.000130784885653,2.82594826389564e-07,16681.290006949574,715.6,0.6,1.9,7.96,607.4224,13.98888,7.8,2.395625,0.61593,8.81,97.5154,7.08558,0.0,14865.0
616,0.0,492.0,71.0,6.0,38.0,0.0,5.0,0.0,1.9844275946474413e-05,2.742523529681296e-05,3.957706719662032e-06,2.9599186875218857e-05,3.344540889855239e-07,0.0,0.0002130472546837,3.065829149033968e-05,0.0001281516584296,2.7871174082126986e-07,15515.7153844756,675.28,1.673684210526316,1.9,8.04,2826.467,14.91379,7.8,2.395625,0.22672,3.19,645.2205,3.92424,0.0,4829.0
617,120.0,9872.0,34726.0,679.0,7341.0,201.0,13143.0,9.496394307714374e-08,8.807984857024313e-05,7.812367050479692e-06,2.748098239414078e-05,9.913444291061498e-06,5.373376445781717e-07,1.5906460465421576e-07,7.848295075610545e-05,1.2838333737837524e-05,0.0002213791527352,1.0400925865524168e-05,954.0172685472936,32.85,6.04,8.7,14.852,277382.0,29.8818,0.13486,0.18,1.71222,13.8648,11699.63,1.85138,0.0,0.0
618,35.0,11021.0,30200.0,922.0,6813.0,525.0,11459.0,2.75429155768276e-08,8.297263970497061e-05,8.672870644920485e-06,2.3765601440576955e-05,1.1002214362275047e-05,7.255590903381442e-07,4.13143733652414e-07,8.226439330442361e-05,1.1222557686889668e-05,0.0002293286106162,9.017550559853357e-06,1049.5023376034442,33.56,6.04,8.0,14.3295,206413.8,21.89694,0.13576,0.0,1.76503,12.9151,10998.08,2.13645,0.0,0.0
619,60.0,11773.0,24847.0,1419.0,6377.0,102.0,9706.0,4.69632486405204e-08,7.859769292477494e-05,9.214972104080778e-06,1.944826398285017e-05,1.2336462697054037e-05,1.1106808303483075e-06,7.98375226888847e-08,8.71723994057233e-05,9.500665199977275e-06,0.0002360983398904,7.59708818841485e-06,1147.334863191423,36.6,2.7,7.3,13.9849,213260.3,12.11258,0.13825,0.19,2.06882,11.4495,15480.13,2.29502,0.0,0.0
620,46.0,12183.0,18858.0,1094.0,5962.0,2.0,8001.0,3.581708296706473e-08,7.340477564428391e-05,9.486076560603252e-06,1.468344675201971e-05,1.3879119649737582e-05,8.51823668825409e-07,1.5572644768289011e-09,9.127983594156446e-05,8.111790659801747e-06,0.0002436861957598,6.229836539554019e-06,1290.1640310276848,39.79,6.04,6.7,11.5318,208041.4,30.65128,0.14305,1.77,2.20445,11.8029,9721.544,1.51014,0.0,0.0
621,51.0,13424.0,15029.0,773.0,5664.0,16.0,6840.0,3.95042034703318e-08,7.012538330541331e-05,1.0398126027171256e-05,1.1641346548149346e-05,1.541903282902794e-05,5.987597898542448e-07,1.2393475598535468e-08,9.59959890251312e-05,7.151035420354965e-06,0.0002527517667643,5.298210818373913e-06,1510.025714478911,44.05,5.6,5.4,15.0306,273248.0,10.69103,0.14184,0.18,1.67487,12.3457,23035.82,1.73163,0.0,226619.0
622,44.0,15090.0,13022.0,1029.0,5309.0,25.0,6039.0,3.3904433585381776e-08,6.61891599117528e-05,1.162767960916843e-05,1.0034171230655486e-05,1.611616428268772e-05,7.929014127126782e-07,1.926388271896692e-08,9.875590948112953e-05,6.634481208412205e-06,0.0002531528472524,4.653383509593648e-06,1764.5862976082358,48.17,6.3,5.5,14.4628,278063.0,30.27287,0.05,0.05,2.03824,13.7852,13169.63,1.64301,0.0,291135.0
623,36.0,14791.0,11582.0,1999.0,4909.0,0.0,5510.0,2.7601818569738044e-08,6.067416423656167e-05,1.1340513846249872e-05,8.880118407630722e-06,1.6229102601823478e-05,1.5326676478029542e-06,0.0,9.552299361522091e-05,6.350718422587228e-06,0.0002484777045022,4.224611675534906e-06,2111.653361445152,52.57,6.04,5.1,11.8766,279093.0,10.75551,0.06,0.0,2.29707,12.1168,8678.212,1.32555,0.0,273242.0
624,21.0,14992.0,10723.0,1180.0,4625.0,88.0,5017.0,1.6023396576245144e-08,5.820079145934528e-05,1.1439179117669868e-05,8.181851499384605e-06,1.6232463750620916e-05,9.003622838080605e-07,6.714566184331299e-08,9.418857715070729e-05,6.011062772745679e-06,0.0002473394386075,3.828065743953424e-06,2713.03191206233,59.02,3.8,4.6,9.61,282827.0,30.5373,0.08,0.08,2.00978,10.3964,7977.601,1.44359,0.0,252701.0
625,15.0,16310.0,10288.0,88421.0,4676.0,114.0,4757.0,1.1388953247441876e-08,5.590001959264405e-05,1.2383588497718467e-05,7.811303400645468e-06,1.6254314074749048e-05,6.713484233947055e-05,8.655604468055828e-08,9.494211058842463e-05,6.0027376249516985e-06,0.0002485062005956,3.611816706538734e-06,3475.3618613633835,72.96,6.04,4.2,10.5933,279173.0,20.51285,0.08,0.08,2.07884,12.3033,7609.806,1.14961,0.0,310826.0
626,9.0,16364.0,9981.0,611.0,4447.0,392.0,4509.0,6.799680752268809e-09,5.506834785237433e-05,1.2363330647791865e-05,7.5408459542661084e-06,1.6010981611342287e-05,4.616227710706937e-07,2.961638727654859e-07,9.681763215122124e-05,6.118201636874757e-06,0.0002487451657594,3.406640056886673e-06,3844.83566120555,82.12,6.2,4.1,11.9489,280280.0,30.04539,0.1,0.1,2.41506,10.6624,9812.589,1.06415,0.0,299329.0
627,12.0,16722.0,9838.0,7175.0,4454.0,19.0,4334.0,9.021597849597502e-09,5.334395628484923e-05,1.257159660341412e-05,7.396206637028352e-06,1.584568482299721e-05,5.394163714238506e-06,1.4284196595196045e-08,9.93232815251437e-05,6.333913490238246e-06,0.0002462482723038,3.2583004233462977e-06,4536.232312736408,89.46,5.9,3.9,11.5401,279005.0,29.73459,5.75,0.17,1.84246,11.6708,15181.35,1.10304,0.0,298932.0
628,11.0,17075.0,9567.0,844.0,4400.0,67.0,4212.0,8.229110698739235e-09,4.989534246937383e-05,1.2773824107361132e-05,7.157082004985297e-06,1.5514117970041295e-05,6.313972208850831e-07,5.012276516504808e-08,0.0001009786692832,6.5900214677449024e-06,0.0002362682415744,3.1510012966445146e-06,5604.931084220226,109.21,6.2,3.4,10.7101,71756.92,20.69701,5.36,0.21,2.1153,8.11,15337.87,0.9774,0.0,454385.0
629,0.0,16455.0,9170.0,871.0,4441.0,55.0,4158.0,0.0,4.847235274577185e-05,1.2250231368939882e-05,6.826777371812745e-06,1.5230339309983112e-05,6.484321800271429e-07,4.094577485820076e-08,0.0001020465490388,6.808165655968109e-06,0.0002240627247104,3.0955005792799778e-06,6357.452433576245,124.53,6.7,3.0,6.41,282962.0,29.7026,5.52,0.18,2.33903,10.4952,15533.81,1.11608,0.0,479518.0
630,0.0,17728.0,8989.0,1402.0,4616.0,213.0,4160.0,0.0,4.67936165113392e-05,1.3135882212962716e-05,6.660562117121044e-06,1.49534769257559e-05,1.0388372553347094e-06,1.578262021300236e-07,0.0001039600452462,7.179980744788398e-06,0.0002140930956095,3.082427234088724e-06,7131.764469553633,139.85,7.8,3.0,7.65,68359.76,28.70509,5.62,3.71,1.74299,10.1153,6272.172,1.03357,0.0,327759.0
631,0.0,21784.0,8980.0,1684.0,4582.0,425.0,4143.0,0.0,4.627376633267078e-05,1.6068540095179574e-05,6.623920770047401e-06,1.4803504001568072e-05,1.2421695519777089e-06,3.134929094955619e-07,0.0001070567221471,7.64553883981529e-06,0.0002064988859302,3.056002644800265e-06,7762.999838405838,149.31,6.04,2.8,9.27,264944.0,27.62812,5.65,0.17,2.01458,8.35,13845.08,1.08157,0.0,187500.0
632,0.0,26060.0,8872.0,551.0,4720.0,211.0,4171.0,0.0,4.516227105345519e-05,1.9140476892664413e-05,6.516282079498031e-06,1.4610955749262207e-05,4.0469695962617387e-07,1.549746977878815e-07,0.0001094591431816,8.208517642072811e-06,0.0001975648295444,3.063504570963287e-06,8162.618690346933,155.3,9.2,2.8,9.04,194627.0,9.22984,5.66,0.17,2.27331,9.81,5829.717,0.84672,0.0,182833.0
633,0.0,29402.0,8964.0,1340.0,5072.0,20.0,4234.0,0.0,4.465930616575091e-05,2.1508508245596293e-05,6.557454183848894e-06,1.4486531147117318e-05,9.802530796918249e-07,1.4630642980474998e-08,0.0001138995556029,8.97004721132922e-06,0.0001923571101179,3.097307118966557e-06,8212.836089278291,165.64,6.04,2.8,5.11,192757.8,9.16231,5.63,0.18,1.60701,6.31,7403.4,1.01458,0.0,175001.0
634,0.0,31031.0,9499.0,620.0,5112.0,14.0,4080.0,0.0,4.3258152315620245e-05,2.2615893191798565e-05,6.923024376555527e-06,1.4304474096079097e-05,4.5186599783813314e-07,1.0203425757635264e-08,0.0001175216002441,9.365287213258082e-06,0.0001873553037616,2.973569792225134e-06,8939.16810268709,189.45,6.04,2.6,8.9,63288.62,9.0956,5.25,0.4364705882352941,2.18382,8.14,5651.86,0.99082,0.0,252740.0
635,0.0,31707.0,10569.0,354.0,4995.0,5.0,3843.0,0.0,4.219699603682618e-05,2.310857289266724e-05,7.70285763088908e-06,1.4211185632009288e-05,2.580009084430631e-07,3.64408062772688e-09,0.0001214892752316,9.406829732414169e-06,0.0001849728038472,2.80084037047088e-06,10088.135792367491,218.38,6.04,2.4,6.81,252225.2,17.5687,4.77,0.4364705882352941,1.53017,9.9,6525.554,0.81193,0.0,259071.0
636,0.0,31746.0,11445.0,295.0,4966.0,0.0,3726.0,0.0,4.093230483282402e-05,2.298911876765324e-05,8.287987913305337e-06,1.4091389847532422e-05,2.1362659977501745e-07,0.0,0.0001252011189433,9.485745187976114e-06,0.0001810575952838,2.698212578853272e-06,10384.859717741068,235.57,6.04,2.2,8.63,187404.6,8.94894,4.48,0.4364705882352941,1.50223,9.81,4916.541,0.77087,0.0,0.0
637,852.0,1991.0,69.0,212.0,15.0,2154.0,37.0,2.1896491071885665e-05,3.4438143235125344e-05,5.116891282174221e-05,1.7733073755400364e-06,2.158808978918305e-06,5.448422661079532e-06,5.53580302451194e-05,0.000142609893143,4.790499924647287e-05,0.0001885359841588,9.509039549997296e-07,2550.2216068817074,33.82,2.9,3.2,2.57,7942.0,8.2576,0.024,0.04,0.15013,7.47,33850.85,92.33271,5.0,0.0
638,1426.0,2206.0,66.0,97.0,15.0,2420.0,33.0,3.627349790071583e-05,3.299209451418543e-05,5.611454163322518e-05,1.6788575465969455e-06,2.111290551023432e-06,2.46741184878642e-06,6.1558110041888e-05,0.0001453738011939,4.8508808202429925e-05,0.0001796886319569,8.394287732984727e-07,2481.8093241102665,34.02,2.8,3.5,8.36,1729.027,32.12254,0.036,1.77,0.31653,7.45,3144.353,178.2361,9.0,1401.0
639,960.0,2412.0,69.0,134.0,16.0,3202.0,32.0,2.4117604675680017e-05,3.554834439175753e-05,6.0595481747646046e-05,1.7334528360645014e-06,2.235902933474501e-06,3.3664156526470024e-06,8.044226059534106e-05,0.0001584476382182,4.929035455592104e-05,0.0001936693900466,8.039201558560006e-07,2444.7463164629685,29.89,3.2,3.4,7.73,1643.044,7.88305,0.036,0.03,0.13873,2.36,40179.03,15.83197,20.0,1401.0
640,712.0,2597.0,64.0,160.0,15.0,1266.0,30.0,1.7645156691965326e-05,3.4199882352404705e-05,6.436021338347465e-05,1.5860815004013775e-06,2.2304271099394373e-06,3.965203751003444e-06,3.137467467981475e-05,0.0001514212182414,4.681418678528441e-05,0.000180664595905,7.434757033131459e-07,2330.375026988168,26.58,3.0,3.3,7.41,7119.0,27.39083,0.036,0.05,0.07586,4.56,28697.7,75.75238,102.0,1505.0
641,442.0,2687.0,63.0,61.0,15.0,1603.0,29.0,1.0800995998450912e-05,3.472446903574377e-05,6.566125847927059e-05,1.5395084794172116e-06,2.2970443978606014e-06,1.4906351943563476e-06,3.917193797628238e-05,0.000148208236947,4.435250619273395e-05,0.0001789739698928,7.08662633382526e-07,2842.861245420329,39.74,2.9,3.1,4.7,7353.0,28.01129,0.036,0.05,0.23991,4.45,29643.52,11.6845,32.0,1545.0
642,319.0,2663.0,63.0,135.0,15.0,1657.0,27.0,7.689011818806581e-06,3.364846551427582e-05,6.418758142157343e-05,1.5185195755009862e-06,2.2416241352633606e-06,3.2539705189306847e-06,3.993947518420848e-05,0.0001404028020205,4.1674926127638176e-05,0.0001712070562664,6.507941037861369e-07,3509.491566865382,56.41,3.4,2.7,1.95,5675.575,16.94346,0.048,2.84,0.08726,4.13,25373.37,59.49524,20.0,2366.0
643,320.0,2642.0,65.0,262.0,15.0,662.0,26.0,7.610667187236302e-06,3.398638565800211e-05,6.283557096461972e-05,1.545916772407374e-06,2.3069834911310043e-06,6.231233759549723e-06,1.57445677435951e-05,0.0001395368262109,3.940898602890798e-05,0.0001733091618543,6.183667089629495e-07,3847.9771132016335,64.48,3.0,2.7,4.3,1628.287,7.39152,0.048,0.07,0.07956,4.14,2024.095,111.1432,5.0,2243.0
644,347.0,2744.0,68.0,312.0,15.0,426.0,23.0,8.146052380760104e-06,3.251378255721252e-05,6.441719807724993e-05,1.5963445587656688e-06,2.2771385617686746e-06,7.324404446101304e-06,1.0000629147561396e-05,0.0001332008680358,3.6293363056643e-05,0.0001681326430864,5.399400713472115e-07,4841.38438756241,88.37,3.5,2.9,1.8,1577.821,7.07437,0.048,0.04,0.23168,4.12,1997.459,103.5681,7.0,2294.0
645,131.0,2701.0,74.0,163.0,15.0,337.0,21.0,3.036546951923441e-06,3.228938858037675e-05,6.260849860416195e-05,1.7153013316208751e-06,2.3179747724606424e-06,3.778298879110847e-06,7.811574983192366e-06,0.0001308264961576,3.5511373514097045e-05,0.0001685167659578,4.867747022167349e-07,5621.181542207956,114.49,3.8,2.8,7.07,7970.0,29.31955,0.048,0.07,0.15117,6.6,25164.56,106.2981,3.0,5930.0
646,129.0,2646.0,80.0,116.0,16.0,526.0,19.0,2.9534743985970586e-06,3.21218959785401e-05,6.058056789680478e-05,1.8316120301377104e-06,2.4268859399324667e-06,2.655837443699681e-06,1.2042849098155448e-05,0.0001292202287262,3.461746736960273e-05,0.0001740260380134,4.350078571577063e-07,5322.412712926043,105.93,2.9842105263157896,2.6,1.73,7908.328,28.70636,0.048,0.07,0.06427,1.75,29379.65,11.00294,5.0,9457.0
647,197.0,2741.0,84.0,458.0,16.0,498.0,17.0,4.456480006963872e-06,3.0403599641418497e-05,6.200615075679174e-05,1.900224977588656e-06,2.5336333034515414e-06,1.0360750473042913e-05,1.126561950998989e-05,0.0001256184440541,3.300509812264106e-05,0.0001691878881831,3.845693407024661e-07,6481.101855406814,124.17,3.0,2.3,3.85,5856.033,6.38993,4.22,2.86,0.11858,3.83,28046.03,62.01759,0.0,10376.0
648,103.0,2664.0,89.0,588.0,15.0,270.0,15.0,2.302934537811323e-06,2.763521445373588e-05,5.9563277754654026e-05,1.989914309370949e-06,2.5935961785059564e-06,1.3146849594495708e-05,6.036818691350071e-06,0.0001196408030274,3.06983409749024e-05,0.0001605123014266,3.35378816186115e-07,7489.36670283988,131.05,2.7,2.1,1.48,5757.035,6.1772,4.3,1.34,0.15217,1.52,26241.07,9.8711,0.0,15926.0
649,153.0,2564.0,98.0,173.0,15.0,395.0,14.0,3.382031641669105e-06,2.6172061854485106e-05,5.667666097542213e-05,2.166268633225963e-06,2.58625949068814e-06,3.824127281102975e-06,8.731388878818932e-06,0.0001185479457141,2.9576198278125905e-05,0.0001603922979866,3.09466947603709e-07,8194.043733869035,160.81,3.1,2.2,1.5,6196.351,27.44782,4.37,0.06,0.09739,6.21,23096.14,9.24257,0.0,9377.0
