,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
234,11.152941176470588,19.4,7.63029,4.705882352941177,47.3
235,11.152941176470588,19.4,7.51074,4.705882352941177,47.3
236,11.152941176470588,19.5,7.40215,4.705882352941177,47.3
237,14.3,28.1,5.00399,1.5,52.2
238,14.7,27.9,4.76324,1.5,52.7
239,15.2,27.7,4.53488,1.4,53.1
240,15.7,27.4,4.31477,1.4,53.6
241,16.1,27.1,4.07406,1.3,54.1
242,16.6,26.6,3.81261,1.3,54.5
243,17.1,26.1,3.51496,1.2,55.0
244,17.6,25.6,3.18957,1.2,55.5
245,18.1,25.0,2.91108,1.1,55.9
246,18.6,24.4,2.67479,1.1,56.4
247,19.1,24.0,2.47825,1.1,56.8
248,19.6,23.8,2.34778,1.0,57.3
249,20.1,23.7,2.27686,1.0,57.7
250,20.6,23.6,2.24436,1.0,58.1
251,21.1,23.6,2.23789,0.9,58.6
252,21.6,23.6,2.24542,0.9,59.0
253,22.1,23.7,2.21675,0.9,59.4
254,18.129411764705885,23.8,2.13455,1.1647058823529413,55.87647058823529
255,18.129411764705885,23.9,2.08009,1.1647058823529413,55.87647058823529
256,18.129411764705885,23.9,2.01987,1.1647058823529413,55.87647058823529
257,16.3,16.0,3.3881,0.5,54.5
258,16.7,15.6,3.34496,0.5,54.9
259,17.1,15.3,3.38393,0.5,55.2
260,17.5,15.1,3.38729,0.5,55.6
261,17.9,14.9,3.30779,0.5,55.9
262,18.3,14.8,3.23515,0.5,56.2
263,18.7,14.8,3.21621,0.4,56.6
264,19.1,14.7,3.1894,0.4,56.9
265,19.6,14.6,3.1387,0.4,57.2
266,20.0,14.6,3.0803,0.4,57.5
267,20.4,14.5,3.08361,0.4,57.8
268,20.8,14.6,3.13439,0.4,58.1
269,21.3,14.7,3.12393,0.4,58.3
270,21.7,14.7,3.07638,0.4,58.6
271,22.2,14.9,3.06733,0.4,58.9
272,22.6,15.1,3.00133,0.3,59.2
273,23.1,15.4,2.95165,0.3,59.5
274,19.605882352941176,15.7,2.91978,0.4235294117647059,57.11176470588235
275,19.605882352941176,15.9,2.88088,0.4235294117647059,57.11176470588235
