,Maternal mortality ratio (per 100 000 live births),Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Lower Respiratory Infections
2478,13.0,2.03443,19.5,1.9906492568906323e-06,4.4855963255268914e-05,120.0,0.0001422650668924
2479,13.0,1.90063,19.0,2.126935511315297e-06,4.2405776756848734e-05,120.0,0.0001437010804832
2480,12.0,1.78511,18.6,2.2660028788900106e-06,4.052146324603313e-05,120.0,0.0001476900699888
2481,12.0,1.69056,18.4,2.407671805440857e-06,3.731891298433328e-05,120.0,0.0001479380564898
2482,12.0,1.61599,18.3,2.417050518907176e-06,3.4510110186619126e-05,120.0,0.0001497228515878
2483,12.0,1.55603,18.2,2.4278778647947187e-06,3.210194065673017e-05,120.0,0.0001559237117612
2484,12.0,1.50548,18.1,2.574756356904053e-06,2.967745485063093e-05,120.0,0.0001641068393795
2485,12.0,1.46071,18.1,2.5868476225576925e-06,2.72299749742915e-05,120.0,0.0001696427440898
2486,12.0,1.41959,18.0,2.7357704032046813e-06,2.5305876229643302e-05,120.0,0.0001776882876881
2487,12.0,1.37896,18.0,2.7485348934750333e-06,2.363740008388529e-05,120.0,0.0001866255192669
2488,12.0,1.34185,18.0,2.899348295535266e-06,2.1814144318789143e-05,120.0,0.0002011595460283
2489,12.0,1.30988,18.1,2.91271669918738e-06,2.0527717689511057e-05,120.0,0.0002126283190406
2490,13.0,1.28294,18.2,2.9260976419275795e-06,1.9507317612850528e-05,120.0,0.0002198753370934
2491,12.0,1.26078,18.4,2.9395621816086712e-06,1.8477247998683075e-05,120.0,0.0002168277056815
2492,12.0,1.24004,18.7,2.812534453547056e-06,1.8281473948055864e-05,120.0,0.0002195183140993
2493,12.333333333333334,1.21847,19.1,2.812534453547056e-06,1.8140847225378512e-05,120.0,0.0002220495951075
2494,12.333333333333334,1.19461,19.5,2.838827552865356e-06,1.816849633833828e-05,120.0,0.0002229899042775
2495,2480.0,44.38249,82.2,0.0006017235757502,0.0007537296622944,94.0,0.0023483496444527
2496,2250.0,43.3236,81.7,0.0005725362639275,0.0007216677400175,95.0,0.0022523057259561
2497,2080.0,42.20528,81.2,0.0005437586952403,0.0006823226870777,95.0,0.002159405509155
2498,1960.0,41.04254,80.7,0.0005208609746818,0.0006505163935729,96.0,0.0020854592679328
2499,1850.0,39.8349,80.2,0.0005219240702602,0.0006323060135126,96.0,0.0020850888335627
2500,1760.0,38.56259,79.7,0.0005059415206367,0.0006236122185514,96.0,0.0020577503996343
2501,1680.0,37.2254,79.2,0.000479904915725,0.0006169019937433,97.0,0.0020115737622365
2502,1610.0,35.85347,78.8,0.0004442569370669,0.0006117936492606,97.0,0.0019447677817143
2503,1530.0,34.40238,78.4,0.000393788964552,0.0005898871091848,97.0,0.0018369518584032
2504,1450.0,32.93728,78.1,0.0003569662390216,0.0005781216327386,98.0,0.0017542396560653
2505,1360.0,31.48466,77.9,0.0003397071312762,0.0005713256298736,98.0,0.0017189333348583
2506,1270.0,30.06596,77.7,0.0003199302566955,0.0005501830929537,98.0,0.0016378713899012
2507,1210.0,28.7343,77.6,0.0002969377677498,0.0005295299050418,98.0,0.0015617942259548
2508,1180.0,27.48995,77.4,0.0002768728335903,0.0005013643202852,98.0,0.0014898395331289
2509,1190.0,31.99023,77.1,0.0002581948125998,0.0004773905435932,98.0,0.0014234664786353
2510,1180.0,25.29271,76.8,0.0002369411089932,0.0004568728059984,98.0,0.0013517379706887
2511,1120.0,24.28171,76.2,0.0002204726188624,0.0004369577902097,99.0,0.0012861179673055
2512,1120.0,23.31154,75.4,0.0002083335023474,0.0004202365818378,99.0,0.0012420505922658
2513,1571.111111111111,22.40518,74.5,0.0002003830805288,0.0004145577091102,100.0,0.0012305305933042
2514,1571.111111111111,21.56988,73.4,0.0001824912342346,0.000388025853131,100.0,0.0011537157689747
2515,13.0,1.40141,11.4,2.461033836015901e-07,2.4856441743760603e-05,122.0,0.0003900738630085
