,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
521,120.0,67.9,41.3,122.0
522,120.0,67.2,41.4,122.0
523,120.0,66.5,41.3,122.0
524,121.0,65.8,41.1,122.0
525,121.0,65.1,41.0,122.0
526,121.0,64.6,40.7,122.0
527,121.0,64.0,40.5,122.0
528,121.0,63.6,40.4,122.0
529,121.0,63.3,40.4,122.0
530,121.0,62.9,40.4,122.0
531,121.0,62.6,40.3,122.0
532,121.0,62.1,40.3,122.0
533,121.0,61.5,40.2,122.0
534,121.0,60.8,40.1,122.0
535,121.0,60.0,40.1,122.0
536,121.0,59.2,40.2,122.0
537,133.0,10.7,9.1,133.0
538,133.0,10.5,8.9,133.0
539,133.0,10.4,8.7,133.0
540,133.0,10.4,8.7,133.0
541,133.0,10.3,8.6,133.0
542,133.0,10.3,8.6,133.0
543,133.0,10.3,8.5,133.0
544,133.0,10.3,8.5,133.0
545,133.0,10.3,8.5,133.0
546,133.0,10.4,8.5,133.0
547,133.0,10.4,8.5,133.0
548,133.0,10.5,8.6,133.0
549,133.0,10.7,8.7,133.0
550,132.0,10.9,8.8,133.0
551,132.0,11.2,8.9,133.0
552,132.0,11.5,9.1,133.0
553,132.0,11.8,9.3,133.0
554,132.0,12.2,9.5,133.0
555,132.0,12.7,9.8,133.0
556,132.0,13.2,10.2,132.0
557,124.0,58.4,31.3,125.0
558,125.0,56.3,30.7,126.0
559,125.0,54.6,30.2,126.0
560,125.0,53.4,29.7,126.0
561,125.0,52.5,29.3,126.0
562,125.0,52.0,28.9,126.0
563,126.0,51.7,28.5,126.0
564,126.0,51.4,28.1,126.0
565,126.0,51.2,27.7,127.0
566,126.0,50.9,27.3,127.0
567,126.0,50.5,26.8,127.0
568,126.0,50.1,26.5,127.0
569,126.0,49.6,26.2,127.0
570,127.0,49.0,25.9,127.0
571,127.0,48.3,25.6,127.0
572,127.0,47.6,25.2,127.0
573,127.0,46.7,24.8,128.0
574,127.0,45.8,24.5,128.0
575,127.0,44.9,24.2,128.0
576,127.0,44.1,23.9,128.0
577,116.0,79.1,51.9,118.0
578,116.0,78.9,52.0,118.0
579,116.0,78.6,52.1,118.0
580,116.0,78.2,52.2,118.0
581,116.0,77.8,52.1,118.0
582,116.0,77.3,52.0,118.0
583,116.0,76.9,51.8,118.0
584,116.0,76.4,51.5,118.0
585,117.0,75.9,51.1,118.0
586,117.0,75.4,50.6,118.0
587,117.0,74.9,50.1,118.0
588,117.0,74.4,49.5,119.0
589,118.0,73.9,49.0,119.0
590,118.0,73.4,48.5,119.0
591,118.0,72.7,48.0,119.0
592,118.0,71.9,47.4,119.0
593,118.0,70.9,46.9,120.0
594,119.0,69.5,46.4,120.0
595,119.0,68.0,45.9,120.0
596,119.0,66.3,45.5,120.0
597,134.0,20.9,8.7,134.0
598,134.0,20.4,8.5,134.0
599,134.0,20.1,8.3,134.0
600,134.0,19.8,8.1,134.0
