,per_capita-Protein-Energy Malnutrition,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Nutritional Deficiencies
2616,1.3445426312418964e-05,4.34045,0.000211129532095,53.0,1.4327944641805535e-05
2617,1.2629158817935376e-05,4.14967,0.0002042227389339,50.0,1.3553243609491624e-05
2618,1.2177353410541814e-05,3.98101,0.0002064061403086,50.0,1.3090654916332449e-05
2619,1.133764665572032e-05,24.88472,0.0002025726424592,48.0,1.2240645061928131e-05
2620,1.09933906342679e-05,3.77297,0.0002138488069534,45.0,1.1839036067673125e-05
2621,9.649920575245552e-06,3.74633,0.0002009251319774,47.0,1.0486903482282155e-05
2622,9.118572454811378e-06,3.75433,0.0001953910151145,43.0,9.898771167522512e-06
2623,8.503439157989455e-06,7.7226,0.0001974150704519,42.0,9.276479081443042e-06
2624,7.950497710735605e-06,8.58267,0.000195984558026,41.0,8.621021614050657e-06
2625,7.493896031963079e-06,3.64038,0.000196027039874,38.0,8.157912136061074e-06
2626,7.423447343702605e-06,3.43491,0.0002016546582226,38.0,8.081221158967393e-06
2627,7.262118823719235e-06,3.14925,0.000204084159764,37.0,7.960399479846084e-06
2628,7.1047472260114205e-06,2.83082,0.0002037309334419,37.0,7.796768059713833e-06
2629,7.042754642684471e-06,2.52224,0.000206755154153,36.0,7.683005064746697e-06
2630,6.756300862702535e-06,2.25441,0.0002040493549138,36.0,7.391121077990021e-06
2631,6.701146840566674e-06,2.04606,0.0002055318192039,36.0,7.330784798740724e-06
2632,6.604377274159303e-06,1.88769,0.0002065652865005,36.0,7.229115664958156e-06
2633,6.5151289326166095e-06,1.76325,0.0002053604338897,42.72222222222222,7.139867323415462e-06
2634,6.5093560557946815e-06,1.6646,0.0002066720547714,42.72222222222222,7.169088088476575e-06
2635,3.663508865691455e-05,4.11698,0.0002607556310286,221.0,3.879009387202717e-05
2636,3.6028322500111266e-05,4.06245,0.0002670334491184,218.0,3.81476355883531e-05
2637,3.541607639872669e-05,4.01105,0.0002666622222962,207.0,3.749937501041649e-05
2638,3.482671659861799e-05,3.95982,0.0002622246896837,189.0,3.482671659861799e-05
2639,3.226476465879003e-05,3.90909,0.0002581181172703,176.0,3.4281312449964406e-05
2640,2.9783237596770704e-05,3.85274,0.0002501791958128,164.0,3.176878676988875e-05
2641,2.9302884380585866e-05,3.79797,0.0002461442287969,165.0,3.1256410005958255e-05
2642,2.687526995248836e-05,3.74024,0.0002418774295723,167.0,2.879493209195181e-05
2643,2.64238690584043e-05,3.6798,0.0002415896599625,169.0,2.831128827686175e-05
