,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
232,51.8,4.4,48.8,121.0,19.4,3.8,26.3
233,52.4,4.4,49.4,121.0,19.4,3.7,26.4
234,47.3,4.4,50.0,121.0,19.4,4.705882352941177,25.694117647058825
235,47.3,4.4,50.5,121.0,19.4,4.705882352941177,25.694117647058825
236,47.3,4.4,51.0,121.0,19.5,4.705882352941177,25.694117647058825
237,52.2,5.3,23.7,118.0,28.1,1.5,25.2
238,52.7,5.3,24.6,118.0,27.9,1.5,25.3
239,53.1,5.3,25.4,118.0,27.7,1.4,25.4
240,53.6,5.2,26.3,118.0,27.4,1.4,25.5
241,54.1,5.2,27.2,118.0,27.1,1.3,25.6
242,54.5,5.2,28.0,118.0,26.6,1.3,25.6
243,55.0,5.2,28.8,118.0,26.1,1.2,25.7
244,55.5,5.2,29.5,118.0,25.6,1.2,25.8
245,55.9,5.1,30.3,119.0,25.0,1.1,25.9
246,56.4,5.1,31.0,119.0,24.4,1.1,26.0
247,56.8,5.1,31.7,119.0,24.0,1.1,26.0
248,57.3,5.1,32.4,119.0,23.8,1.0,26.1
249,57.7,5.0,33.1,119.0,23.7,1.0,26.2
250,58.1,5.0,33.8,119.0,23.6,1.0,26.2
251,58.6,5.0,34.5,119.0,23.6,0.9,26.3
252,59.0,5.0,35.1,119.0,23.6,0.9,26.4
253,59.4,4.9,35.7,119.0,23.7,0.9,26.4
254,55.87647058823529,4.9,36.3,119.0,23.8,1.1647058823529413,25.858823529411765
255,55.87647058823529,4.9,36.9,119.0,23.9,1.1647058823529413,25.858823529411765
256,55.87647058823529,5.105263157894737,37.6,119.0,23.9,1.1647058823529413,25.858823529411765
257,54.5,5.4,36.7,120.0,16.0,0.5,25.8
258,54.9,5.4,37.9,120.0,15.6,0.5,25.9
259,55.2,5.3,39.1,120.0,15.3,0.5,26.0
260,55.6,5.3,40.3,120.0,15.1,0.5,26.0
261,55.9,5.2,41.5,120.0,14.9,0.5,26.1
262,56.2,5.2,42.7,120.0,14.8,0.5,26.2
263,56.6,5.2,43.8,120.0,14.8,0.4,26.2
264,56.9,5.1,44.9,120.0,14.7,0.4,26.3
265,57.2,5.1,45.9,121.0,14.6,0.4,26.3
266,57.5,5.0,46.9,121.0,14.6,0.4,26.4
267,57.8,5.0,47.9,121.0,14.5,0.4,26.4
268,58.1,5.0,48.9,120.0,14.6,0.4,26.5
269,58.3,4.9,49.8,120.0,14.7,0.4,26.5
270,58.6,4.9,50.6,120.0,14.7,0.4,26.5
271,58.9,4.9,51.5,120.0,14.9,0.4,26.5
272,59.2,4.8,52.2,120.0,15.1,0.3,26.6
273,59.5,4.8,53.0,120.0,15.4,0.3,26.6
274,57.11176470588235,4.8,53.7,120.0,15.7,0.4235294117647059,26.28235294117647
275,57.11176470588235,4.7,54.4,120.0,15.9,0.4235294117647059,26.28235294117647
276,57.11176470588235,5.052631578947368,55.2,120.0,16.2,0.4235294117647059,26.28235294117647
277,45.2,4.4,20.1,118.0,27.9,5.8,26.0
278,45.8,4.4,20.9,118.0,27.5,5.6,26.1
279,46.5,4.4,21.7,118.0,27.0,5.4,26.2
280,47.1,4.4,22.5,118.0,26.6,5.3,26.3
281,47.7,4.4,23.4,118.0,26.0,5.1,26.4
282,48.3,4.4,24.2,119.0,25.4,4.9,26.5
283,48.9,4.4,25.1,119.0,24.9,4.8,26.6
284,49.5,4.4,25.9,119.0,24.3,4.7,26.7
285,50.1,4.4,26.7,119.0,23.7,4.5,26.8
286,50.6,4.4,27.6,119.0,23.2,4.4,26.9
287,51.2,4.4,28.4,120.0,22.6,4.3,27.0
288,51.8,4.4,29.1,120.0,22.2,4.1,27.1
289,52.4,4.4,29.9,120.0,21.9,4.0,27.1
290,53.0,4.4,30.6,120.0,21.7,3.9,27.2
291,53.6,4.4,31.2,120.0,21.5,3.8,27.3
292,54.2,4.4,31.8,120.0,21.4,3.7,27.4
293,54.8,4.5,32.4,120.0,21.3,3.6,27.5
294,50.04117647058824,4.5,32.9,120.0,21.2,4.582352941176471,26.77058823529412
295,50.04117647058824,4.5,33.5,120.0,21.2,4.582352941176471,26.77058823529412
296,50.04117647058824,4.415789473684211,34.0,120.0,21.2,4.582352941176471,26.77058823529412
297,21.0,3.9,8.7,104.0,61.6,13.9,21.7
