,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
372,128.0,2.165332677381889e-07,2.90058,23.7,128.0
373,128.0,2.1668627316295002e-07,2.85793,23.8,128.0
374,128.0,2.168853955881173e-07,2.8245,23.8,128.0
375,128.0,2.168853955881173e-07,2.79211,24.0,128.0
376,128.0,2.1742297247642602e-07,2.76195,24.3,127.0
377,124.0,4.8223471137359495e-05,11.78852,36.5,123.0
378,124.0,5.075819321835533e-05,12.46746,36.1,123.0
379,124.0,5.325920568189823e-05,13.08806,35.6,123.0
380,124.0,5.289540440224817e-05,13.73564,35.1,124.0
381,124.0,5.033653569579474e-05,14.54209,34.8,124.0
382,124.0,4.673618402318115e-05,15.26526,34.3,124.0
383,125.0,4.42483065693275e-05,15.33133,33.8,124.0
384,125.0,4.390040461539587e-05,15.26697,33.1,124.0
385,125.0,4.200716375826824e-05,15.21773,32.6,125.0
386,125.0,3.817415047446451e-05,15.28589,32.1,125.0
387,125.0,3.548009246506319e-05,15.52074,31.7,125.0
388,126.0,3.292343654830691e-05,15.7229,31.4,125.0
389,126.0,2.9075060366498284e-05,15.88543,31.3,125.0
390,126.0,2.678791723943464e-05,16.01991,31.3,125.0
391,126.0,2.504889172570165e-05,15.91617,31.4,125.0
392,125.0,2.3823497206924025e-05,15.6888,31.6,125.0
393,125.0,2.308519614269005e-05,15.43646,31.9,125.0
394,125.0,2.2813351446836168e-05,15.37053,32.1,125.0
395,125.0,2.2813351446836168e-05,15.34035,32.3,125.0
396,125.0,2.2298415763143605e-05,15.22884,32.6,125.0
397,127.0,1.278927467718623e-05,9.95702,27.0,127.0
398,128.0,1.2433634358479031e-05,9.72301,26.3,127.0
399,128.0,1.2385789461290588e-05,9.54798,25.8,128.0
400,128.0,1.2089589949810807e-05,9.37645,25.3,128.0
