,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Domestic general government health expenditure (GGHE-D) per capita in PPP int$,per_capita-Parkinson's Disease,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)
0,1.21,0.72,1.817789831970118e-05,0.08
1,5.46,6.0,1.7356259378978644e-05,0.65
2,3.6,4.95,1.7083283458447306e-05,0.54
3,3.37,5.36,1.6783937786727185e-05,0.53
4,2.72,5.33,1.6424602640619455e-05,0.5
5,2.61,6.06,1.6431103070337827e-05,0.56
6,3.0,8.03,1.6422599171203754e-05,0.63
7,2.51,8.02,1.6149625862319805e-05,0.53
8,2.26,7.87,1.5968007393221764e-05,0.47
9,2.19,8.02,1.589511722833783e-05,0.48
10,1.37,6.6,1.5844876424428094e-05,0.34
11,1.78,8.76,1.5783682668127724e-05,0.44
12,1.86,9.84,1.5774829455867684e-05,0.47
13,2.01,10.94,1.5692010604728326e-05,0.52
14,2.14,11.89,1.572061750585563e-05,0.6
15,2.32,13.24,1.5736350430296875e-05,0.64
16,1.9,11.44,1.6146609100732922e-05,0.55
17,3.87,23.38,1.5651002323726674e-05,1.08
18,8.17,105.46,3.7044635936716366e-05,2.77
19,8.42,115.8,3.772376104618859e-05,2.75
20,8.21,117.77,4.131660527277352e-05,2.59
21,9.0,130.03,4.593335103341896e-05,2.67
22,9.35,149.14,4.826571755033425e-05,2.82
23,9.23,152.51,4.926380370126562e-05,2.67
24,8.77,163.97,4.857309868756152e-05,2.56
25,8.31,173.45,4.880372379097967e-05,2.44
26,7.16,183.44,5.160648646619892e-05,2.27
27,7.15,203.05,5.331026574664548e-05,2.34
28,8.09,226.5,5.557504774097474e-05,2.38
29,8.18,239.54,5.877114216705897e-05,2.37
30,8.7,257.23,6.160795428623189e-05,2.46
31,8.83,271.68,6.475382753233126e-05,2.58
32,8.17,291.3,6.853830314392149e-05,2.59
33,8.88,317.36,7.2294454322119e-05,2.73
34,9.62,337.44,7.470560397341665e-05,2.8
35,9.18,341.45,7.710006637167415e-05,2.68
36,9.8,392.53,7.939666409338361e-05,2.82
37,8.79,212.08,1.9619294975212648e-05,2.51
38,9.36,256.72,2.001664296411113e-05,2.93
39,8.19,260.97,2.047107095956628e-05,2.81
40,8.58,276.71,2.063583838339031e-05,2.76
41,8.22,267.83,2.123910360907412e-05,2.53
42,8.27,255.68,2.1928251253288625e-05,2.24
43,7.96,270.49,2.257332781702692e-05,2.3
44,8.02,328.32,2.328945264750721e-05,2.67
45,7.97,382.48,2.3956409639561752e-05,3.03
46,8.92,483.32,2.4694111928929644e-05,3.8
47,9.54,465.61,2.5356945999015097e-05,3.56
48,9.27,502.19,2.631809356645201e-05,3.72
49,10.05,582.17,2.7198546337962863e-05,4.38
50,11.85,559.91,2.794612144128059e-05,4.29
51,11.61,613.04,2.8925499395434984e-05,4.71
52,10.73,590.81,2.9912454760141414e-05,4.92
53,10.73,519.89,3.066550296121861e-05,4.47
54,10.73,486.09,3.1487266164985585e-05,4.14
55,10.73,483.97,3.295613778421731e-05,4.06
56,10.73,487.79,3.356943047825894e-05,4.06
57,2.74,36.49,9.067611422414915e-06,1.11
58,5.97,69.26,9.078340694739256e-06,2.05
59,4.19,49.53,9.053565683244915e-06,1.31
60,4.26,56.26,9.1924025589043e-06,1.47
61,5.66,71.27,9.290788043943332e-06,1.69
62,4.82,61.86,9.343544247369386e-06,1.28
63,4.72,77.43,9.472268978759818e-06,1.44
64,4.52,104.19,9.51969801217844e-06,1.72
65,4.06,141.29,9.68820078373818e-06,2.14
66,5.78,168.27,9.900076834254843e-06,2.6
67,4.25,110.29,1.0092195728513362e-05,1.67
68,4.58,114.97,1.0316489375041891e-05,1.71
69,4.2,115.89,1.05781589705668e-05,1.56
70,4.58,130.23,1.071894033525398e-05,1.7
71,3.62,107.82,1.0739672128811522e-05,1.32
72,4.56,90.56,1.1006172016685356e-05,1.23
73,5.43,85.06,1.1203464230114791e-05,1.2
74,5.43,94.45,1.1481583540001838e-05,1.29
75,5.43,79.32,1.2205212754707836e-05,1.07
76,5.43,73.39,1.2200093598021449e-05,1.04
77,17.82,584.44,5.573760972488173e-05,4.5
78,17.37,576.42,5.637476863794951e-05,4.59
79,18.46,453.34,5.742188676003925e-05,4.03
80,17.13,464.99,5.858588387996102e-05,3.77
81,16.26,457.37,5.805094606780599e-05,3.74
82,16.02,531.0,5.760406888395116e-05,3.91
83,15.1,600.91,5.826159516814478e-05,4.02
84,14.4,705.04,6.01266214711566e-05,4.25
85,14.66,784.67,5.92115014080332e-05,4.51
86,16.42,926.15,5.968677786820143e-05,5.67
87,16.69,1003.11,6.153369840747692e-05,5.57
88,16.28,1096.16,6.231785852184626e-05,5.68
89,16.66,1204.34,6.26414706539286e-05,6.13
90,16.54,1252.48,6.32700773368742e-05,6.22
91,16.29,1246.39,6.36848283401019e-05,6.33
92,16.5,1373.86,6.518252211370595e-05,6.82
93,13.47,1137.59,6.766540747259711e-05,5.59
94,16.05,1561.07,6.825872820898322e-05,6.6
95,15.03,1388.02,6.780653391809894e-05,5.94
96,15.47,1371.24,6.761982998290371e-05,5.93
97,3.87,25.38,3.0566405351290164e-05,0.95
98,5.66,40.12,3.2699275661499744e-05,1.34
99,5.33,40.59,3.517133416815481e-05,1.17
100,5.38,48.78,3.797832703470553e-05,1.21
101,6.28,59.72,4.011553273427471e-05,1.29
102,7.44,80.65,4.324644708646339e-05,1.48
103,7.93,101.72,4.636517209542356e-05,1.59
104,7.2,121.88,4.84579274140629e-05,1.61
105,6.69,123.52,5.0865967837886455e-05,1.49
106,6.34,131.04,5.15671701150386e-05,1.81
107,6.44,126.58,5.35930608109338e-05,1.69
108,6.7,134.26,5.458267000227428e-05,1.67
109,7.04,147.79,5.520965360992024e-05,1.58
110,5.78,135.31,5.446872150478921e-05,1.38
111,6.28,151.1,5.505666976304482e-05,1.51
112,6.12,160.53,5.6636356720573976e-05,1.61
113,6.05,175.27,5.6528091451079455e-05,1.64
114,5.27,166.28,5.707825428662696e-05,1.37
115,5.13,160.82,5.674446332588646e-05,1.23
116,5.67,200.49,5.6149779703482647e-05,1.41
117,14.6,1548.32,7.106423041269844e-05,5.47
118,14.71,1620.8,7.344154654110529e-05,5.47
119,15.51,1754.0,7.647835892798841e-05,5.68
120,15.48,1827.48,7.85165233773842e-05,5.64
121,15.95,1974.03,7.911947921578293e-05,5.81
122,15.9,2041.54,7.977325022021668e-05,5.74
123,15.94,2158.84,8.140766145657634e-05,5.73
124,16.49,2319.06,8.395332850368759e-05,5.88
125,15.61,2384.92,8.611288165881305e-05,5.97
126,15.88,2594.64,8.639566864697893e-05,6.25
127,16.08,2595.68,8.74707900081029e-05,6.1
128,16.42,2755.14,8.949445373283755e-05,6.26
129,16.29,2691.58,9.007259224105696e-05,6.18
130,15.52,2820.15,9.073554183043236e-05,5.94
131,15.71,2891.7,9.263531064329514e-05,6.1
132,16.29,3005.89,9.450128244833396e-05,6.38
133,16.45,3174.66,9.472590680484298e-05,6.34
134,16.51,3239.34,9.628789296608548e-05,6.37
135,16.35,3354.06,0.000100333964463,6.3
136,16.25,3795.18,0.0001013683247397,7.1
137,13.38,2008.37,8.479785264228506e-05,6.83
138,13.29,2033.94,8.768165043182906e-05,6.83
139,13.51,2156.01,9.400720050974976e-05,6.9
140,13.62,2248.07,9.739476954559888e-05,6.98
141,13.03,2369.42,9.553794960636163e-05,7.0
142,13.67,2456.83,9.72547405882519e-05,6.99
143,13.78,2616.09,9.788987511107204e-05,6.94
144,14.09,2737.0,0.0001000026464114,6.94
145,14.39,2969.81,0.0001017606047041,7.18
146,13.76,3053.35,0.0001043813238548,7.45
147,14.0,3115.27,0.0001061581464203,7.4
148,14.32,3246.04,0.0001090385139608,7.29
149,14.51,3461.93,0.000112412273717,7.43
150,14.37,3569.08,0.0001144539670036,7.42
151,14.34,3685.71,0.0001167448330074,7.52
152,14.69,3771.06,0.0001209867950512,7.51
153,14.96,3962.9,0.0001220739043198,7.49
154,15.1,4044.72,0.0001224399175044,7.45
155,15.36,4281.49,0.0001236558054637,7.49
156,15.69,4478.39,0.0001264868129592,7.62
157,4.75,29.57,1.973277801121011e-05,0.87
158,4.71,30.0,2.027586902023016e-05,0.79
159,3.17,30.7,2.128487855929985e-05,0.73
160,3.6,36.18,2.285605579278653e-05,0.78
161,3.57,44.57,2.403348482439934e-05,0.86
162,4.08,61.8,2.5494482484100792e-05,0.92
163,3.42,79.93,2.7132572552442947e-05,0.87
164,3.48,106.67,2.8064218919543105e-05,0.91
165,2.75,113.27,2.91951928029679e-05,0.86
166,3.28,161.53,3.0412379924049424e-05,1.13
167,3.16,151.24,3.149970978339058e-05,1.01
168,2.81,140.75,3.277544489207993e-05,0.95
169,3.04,178.31,3.360158422516221e-05,1.11
170,2.81,183.34,3.451454767329718e-05,1.06
171,3.1,197.37,3.5514406563557884e-05,1.13
172,3.37,195.13,3.5375501749349235e-05,1.3
173,3.29,167.57,3.60587940663026e-05,1.16
174,2.82,141.62,3.613951297589213e-05,1.0
175,2.8,135.04,3.443292486314167e-05,0.93
176,3.85,192.3,3.3372745426674995e-05,1.28
177,10.18,992.07,1.0689291315256217e-05,2.35
178,8.9,1060.99,8.92742893022619e-06,2.46
179,8.07,1078.43,1.1191456442152062e-05,2.57
180,8.51,1067.25,1.2804031733512248e-05,2.49
181,8.66,997.03,1.2969816877976426e-05,2.26
182,8.62,974.83,1.3100922960022532e-05,2.15
183,8.76,975.51,1.2190253282987588e-05,2.11
184,9.27,1028.84,1.138971622522025e-05,2.16
185,9.18,1038.41,1.1740353944578303e-05,2.17
186,10.11,1205.51,1.1360011884320123e-05,2.59
187,7.47,1134.23,1.1016202291370076e-05,2.42
188,7.13,1059.8,1.1525432100798136e-05,2.24
189,8.3,1359.9,1.1214821508105113e-05,2.68
190,8.46,1446.17,1.092612999597294e-05,2.81
191,10.09,1465.25,1.1414751968854468e-05,2.87
192,8.87,1474.74,1.1881661620673496e-05,3.24
193,8.53,1335.28,1.2328632014991616e-05,2.98
194,8.55,1311.91,1.3466180750165492e-05,2.75
195,7.23,1154.46,1.417492710543736e-05,2.44
196,7.23,1113.39,1.4246792436445736e-05,2.37
197,5.21,8.11,1.5573121754388897e-05,0.59
198,3.58,6.45,1.5511884453326093e-05,0.46
199,4.54,8.18,1.605174668137261e-05,0.56
200,4.76,8.81,1.6503353102326015e-05,0.58
201,4.87,9.34,1.6530919804930914e-05,0.57
202,4.39,9.46,1.6837944242830045e-05,0.54
203,4.73,10.91,1.7369985691226875e-05,0.57
204,5.08,12.09,1.7522562935888025e-05,0.59
205,3.84,11.72,1.749620120258589e-05,0.53
206,4.12,12.04,1.7859427451088983e-05,0.52
207,4.44,13.75,1.856923214412358e-05,0.56
208,4.14,15.14,1.7109106176401203e-05,0.58
209,3.96,16.53,1.58675166159469e-05,0.56
210,3.58,16.46,1.661423274287772e-05,0.52
211,3.61,17.03,1.84687695332346e-05,0.51
212,3.38,16.55,1.8821274034056706e-05,0.47
213,3.02,15.63,2.0041136689940867e-05,0.41
214,2.99,16.89,2.264260404869704e-05,0.41
215,2.98,19.37,2.418993462150093e-05,0.43
216,3.0,22.96,2.491066344649312e-05,0.46
217,12.28,351.26,6.577024261911722e-05,2.76
218,12.38,371.89,6.547692665856693e-05,2.94
219,9.33,404.25,6.878624854281764e-05,3.14
220,11.62,502.5,7.205986733778423e-05,3.76
221,13.98,602.65,7.531794934329921e-05,4.34
222,12.24,573.63,7.141913390016319e-05,3.87
223,12.22,596.29,7.46780841159715e-05,3.7
224,10.53,554.72,7.437340407070432e-05,3.3
225,11.28,615.96,7.407459664618445e-05,3.58
226,11.67,639.08,7.379062437409738e-05,3.9
227,10.74,583.95,7.351576913247891e-05,3.62
228,10.62,545.52,7.67339251146649e-05,3.35
229,12.41,658.93,7.645977347054387e-05,4.3
230,10.81,583.72,7.966057667330505e-05,3.81
231,9.92,498.58,7.939795636564485e-05,3.29
232,9.08,496.4,8.258661271007969e-05,3.2
233,9.29,502.62,8.23341738280245e-05,3.15
234,9.08,474.2,8.551803404301899e-05,3.0
235,9.89,471.81,8.893875540473975e-05,2.94
236,10.62,461.27,9.527892906483732e-05,2.82
237,12.13,252.64,4.6642827663621895e-05,4.15
238,10.04,278.42,4.990105291221645e-05,4.26
239,9.32,286.53,5.394171823357648e-05,4.08
240,10.07,338.15,5.471867835209955e-05,4.39
241,10.0,390.73,5.6108233492638106e-05,4.4
242,10.05,455.7,5.9026641506433295e-05,4.52
243,8.44,457.28,6.000571795100748e-05,3.99
244,8.12,513.1,5.974463231497699e-05,3.99
245,5.8,503.91,6.143033779045709e-05,3.48
246,6.73,492.84,6.353297439102918e-05,3.48
247,8.69,595.23,6.501861300838313e-05,3.85
248,7.66,514.07,6.765820744173459e-05,3.09
249,8.85,625.47,6.455072329818987e-05,3.44
250,8.74,679.26,6.594204041710707e-05,3.57
251,8.68,642.26,6.65002962957646e-05,3.37
252,8.83,668.67,6.685365914126845e-05,3.69
253,10.31,747.64,6.806533847084836e-05,4.19
254,10.2,731.35,6.897293218135013e-05,3.98
255,10.31,756.93,6.747816275327133e-05,3.9
256,10.96,843.6,6.803594752490714e-05,4.13
257,12.07,1659.17,8.359625231570388e-05,5.96
258,12.43,1772.19,8.560313628126179e-05,6.14
259,12.29,1861.2,8.931368109100395e-05,6.13
260,13.31,2103.09,9.282899408604772e-05,6.79
261,14.18,2246.54,9.383205473066238e-05,7.0
262,13.3,2295.76,9.658071465483538e-05,6.9
263,13.95,2405.46,9.856377263967946e-05,6.81
264,13.95,2499.56,0.0001020955471907,6.78
265,14.32,2765.13,0.0001067863545301,7.27
266,14.4,2987.01,0.0001082162127283,7.88
267,14.44,3117.96,0.0001095602021318,7.78
268,14.3,3249.14,0.0001116812125454,7.91
269,14.24,3411.11,0.0001149606647715,8.04
270,14.33,3517.35,0.0001170977228849,8.04
271,14.54,3642.21,0.0001166578511355,8.09
272,14.74,3670.05,0.000120052486373,7.92
273,15.66,4050.68,0.0001203922703381,8.32
274,16.02,4214.31,0.0001220783995703,8.34
275,15.84,4366.03,0.0001245639425529,8.27
276,15.71,4489.07,0.0001271941225038,8.18
277,5.85,102.94,2.419315817486815e-05,1.87
278,6.83,137.36,2.3562769253727828e-05,2.39
279,7.56,146.78,2.2962288268566923e-05,2.46
280,7.1,150.86,2.239156882795065e-05,2.34
281,7.55,154.55,2.5489767678974584e-05,2.28
282,8.37,165.68,2.488543810813789e-05,2.39
283,9.74,189.61,2.430952273461294e-05,2.6
284,10.44,234.25,2.3760225382709345e-05,3.19
285,13.33,283.19,2.323497195206957e-05,3.75
286,12.56,275.97,2.598254622457364e-05,3.76
287,12.8,285.66,2.5435422641341463e-05,3.78
288,12.62,287.2,2.491319309281721e-05,3.74
289,12.41,261.33,2.4411157119361403e-05,3.6
290,12.58,272.09,2.692216801227651e-05,3.77
291,12.21,279.88,2.640504160260999e-05,3.89
292,11.35,292.28,2.8787830808160773e-05,4.03
293,12.19,303.54,2.825992347212724e-05,4.23
294,11.61,282.13,2.775110588156938e-05,3.98
295,12.14,292.85,3.052621646972632e-05,3.99
296,12.21,311.42,3.214943055321133e-05,4.17
297,5.16,14.2,1.5712058400512455e-05,0.81
298,6.0,17.04,1.5791768569876966e-05,0.93
299,4.75,13.75,1.599549974400123e-05,0.73
300,4.86,12.88,1.5767010204683212e-05,0.66
301,5.48,14.75,1.5810106537532197e-05,0.73
302,4.83,14.02,1.581442555899173e-05,0.68
303,5.53,15.36,1.6061340875440194e-05,0.72
304,3.77,13.46,1.5824776478052242e-05,0.6
305,3.87,13.22,1.605616705070596e-05,0.56
306,4.4,17.59,1.6037613093607796e-05,0.75
307,5.15,17.13,1.612189032476775e-05,0.72
308,5.4,19.23,1.6300212160129854e-05,0.8
309,5.25,18.66,1.625205351467847e-05,0.75
310,5.13,20.41,1.6300014214422333e-05,0.76
311,4.04,16.3,1.614084898503586e-05,0.58
312,3.23,16.9,1.6174342955599898e-05,0.59
313,3.73,17.27,1.5919626553490224e-05,0.57
314,4.58,24.79,1.6034344297231448e-05,0.81
315,2.96,15.89,1.666847090785642e-05,0.49
316,3.71,18.57,1.631406533456885e-05,0.54
317,7.79,92.4,1.815565003829192e-05,3.54
318,6.66,97.17,1.948115198545408e-05,3.54
319,8.01,99.95,1.9171074682519016e-05,3.33
320,7.72,94.42,2.044806427613066e-05,2.86
321,9.15,107.97,2.1691469829489552e-05,3.04
322,6.83,100.74,2.137740743964318e-05,2.64
323,6.89,102.49,2.258338916448988e-05,2.43
324,7.73,128.69,2.376168220829193e-05,2.64
325,6.04,124.82,2.491495938128828e-05,2.34
326,7.09,148.21,2.604388974174589e-05,2.62
327,6.48,158.24,2.7148791092910307e-05,2.56
328,6.4,166.25,2.823156090888687e-05,2.46
329,6.44,186.41,2.929295183680757e-05,2.52
330,6.93,196.41,2.8953696146125167e-05,2.55
331,7.78,200.47,2.998733716535154e-05,2.46
332,9.37,252.59,3.100068875443276e-05,2.79
333,8.1,261.0,3.1994667555407435e-05,2.64
334,7.59,264.9,3.296900386132973e-05,2.49
335,7.49,292.92,3.428776401578292e-05,2.58
336,10.41,317.91,3.4865252256556605e-05,2.65
337,8.3,83.6,3.0139958006618832e-05,2.43
338,8.18,91.61,3.107279543296833e-05,2.61
339,7.82,93.18,3.1957902662549835e-05,2.6
340,8.61,101.31,3.29163772625135e-05,2.75
341,7.84,97.96,3.3835564775715734e-05,2.54
342,8.3,112.53,3.4828827335427176e-05,2.75
343,8.75,113.2,3.600112868403442e-05,2.61
344,8.5,127.0,3.70255007035906e-05,2.78
345,7.65,131.54,3.822416169049532e-05,2.7
346,8.82,157.49,3.928289886515388e-05,3.16
347,9.71,157.97,4.0513025591163455e-05,3.06
348,8.54,164.93,4.180385925717804e-05,3.02
349,8.31,177.43,4.275994866085073e-05,3.0
350,8.49,216.13,4.3685850745618056e-05,3.26
351,8.54,260.57,4.4302367514757576e-05,3.69
352,9.66,307.22,4.536666542602725e-05,4.31
353,11.09,332.2,4.67653978718918e-05,4.43
354,11.52,374.65,4.749406413979092e-05,4.45
355,13.04,428.76,4.937946177104916e-05,4.84
356,13.67,449.33,4.959177860696084e-05,4.93
357,7.25,187.41,5.4021143082431554e-05,4.08
358,8.6,207.0,5.7402865716454656e-05,4.33
359,9.32,229.78,5.953787088732554e-05,4.43
360,11.59,298.92,5.962507844939917e-05,5.49
361,11.32,306.85,5.845004741587508e-05,5.16
362,10.81,311.93,5.913561783403837e-05,4.94
363,10.96,358.89,5.779092842460151e-05,5.0
364,11.33,419.24,5.953168117906998e-05,5.27
365,10.92,476.93,5.685890495413164e-05,5.4
366,12.52,554.19,5.7657951356630905e-05,6.14
367,12.6,573.89,5.863772660452077e-05,6.14
368,13.38,619.16,6.079404815451121e-05,6.21
369,13.88,670.52,6.144138016378021e-05,6.51
370,14.79,724.71,6.252958796247013e-05,6.59
371,14.43,761.97,6.427879944516791e-05,6.68
372,14.98,777.38,6.75583795343149e-05,6.47
373,15.63,857.23,6.782280350000336e-05,6.56
374,15.47,864.81,6.896955579702129e-05,6.27
375,15.14,955.91,7.005398277496188e-05,6.21
376,15.41,1014.91,7.13147349722677e-05,6.22
377,8.18,280.64,1.4288435892550962e-05,3.19
378,8.18,307.91,1.4585687706423946e-05,3.49
379,8.18,348.97,1.4889670405691977e-05,3.73
380,8.18,350.52,1.5193360838943623e-05,3.58
381,8.18,343.08,1.4935016085565472e-05,3.38
382,8.18,304.96,1.4672988007277802e-05,2.84
383,8.18,320.68,1.439402743821497e-05,2.73
384,8.18,386.37,1.4633468205131958e-05,3.02
385,7.64,487.39,1.4856192060850962e-05,3.6
386,6.25,415.62,1.5068743608341253e-05,3.36
387,8.06,476.0,1.5276150922457766e-05,3.56
388,9.63,505.67,1.5493381905085605e-05,3.55
389,10.68,538.38,1.5729131017941696e-05,3.96
390,11.93,585.24,1.597875765159259e-05,3.98
391,10.96,619.22,1.6235392785176993e-05,3.8
392,10.42,603.23,1.6493190374024324e-05,3.88
393,11.21,638.46,1.674808347606925e-05,3.7
394,14.32,800.81,1.6998183430975967e-05,4.64
395,14.32,847.01,1.74455040475806e-05,4.69
396,14.32,881.15,1.7926177378213487e-05,4.75
397,10.06,314.42,2.464274876823688e-05,3.47
398,9.7,325.33,2.5471060313502907e-05,3.51
399,9.47,352.71,2.6441758809884715e-05,3.69
400,8.56,341.61,2.740814412182828e-05,3.51
401,9.08,362.13,2.827518800721065e-05,3.47
402,8.41,367.61,2.867300871219237e-05,3.35
403,9.03,412.29,2.9691489287916502e-05,3.54
404,9.26,437.32,3.066235387372069e-05,3.48
405,9.37,466.53,3.16996935641962e-05,3.5
406,9.99,491.94,3.292756483187942e-05,3.71
407,8.97,511.5,3.42759121320956e-05,3.58
408,9.22,521.24,3.55945926028056e-05,3.47
409,9.01,504.75,3.6394677080875264e-05,3.35
410,9.48,553.58,3.746311967202407e-05,3.55
411,9.6,581.41,3.848715239949339e-05,3.7
412,10.01,568.22,3.977940462320036e-05,3.85
413,9.96,562.9,4.116012545800198e-05,3.95
414,10.32,574.18,4.1510478297490814e-05,3.95
415,10.32,591.22,4.270176899835317e-05,3.89
416,10.47,610.22,4.334801110405263e-05,3.91
417,5.72,1578.79,1.537056904920734e-05,2.15
418,5.97,1604.51,1.8036758914668093e-05,2.12
419,5.11,1660.11,1.7647629776257466e-05,2.12
420,6.99,1740.44,2.015780683061683e-05,2.16
421,6.4,1734.09,1.9756989034871087e-05,2.12
422,6.43,1557.61,1.938467502976932e-05,1.87
423,5.81,1438.23,1.9031099535369297e-05,1.64
424,5.77,1519.97,2.135742450817856e-05,1.71
425,6.21,1495.64,2.097694895521684e-05,1.69
426,6.22,1878.94,2.060846492696876e-05,2.16
427,5.78,1677.84,2.27832527903156e-05,2.09
428,5.74,1432.08,2.2394187464231505e-05,1.71
429,5.44,1488.83,2.2016409563928315e-05,1.69
430,5.12,1440.91,2.405482575886961e-05,1.72
431,5.2,1443.55,2.365883953392086e-05,1.77
432,5.86,1418.67,2.5602472733366538e-05,2.27
433,6.15,1363.14,2.5193532133205075e-05,2.42
434,5.87,1309.83,2.705182453284881e-05,2.15
435,7.14,1420.1,2.705182453284881e-05,2.3
436,6.81,1321.34,2.841325106604332e-05,2.04
437,8.51,222.47,9.861232884333876e-05,3.47
438,9.47,263.14,0.0001007958217805,3.85
439,10.74,325.86,0.0001036310140738,4.2
440,11.33,366.14,0.0001060829827213,4.37
441,10.83,375.12,0.0001085398949956,4.1
442,11.17,420.79,0.0001127463961755,4.1
443,10.79,412.41,0.0001169880928056,3.63
444,9.11,437.86,0.0001192157488237,3.43
445,9.39,497.67,0.0001204790246018,3.48
446,9.04,502.11,0.0001221427107104,3.55
447,10.85,584.62,0.0001253359836671,3.94
448,11.41,603.79,0.000127720132203,3.86
449,11.18,623.5,0.0001287309416753,3.85
450,10.71,670.76,0.0001290527357317,4.05
451,10.36,785.88,0.0001343015366984,4.49
452,10.21,757.31,0.000136738266648,4.14
453,11.83,822.27,0.0001387900183393,4.12
454,11.84,883.23,0.0001414851705762,4.13
455,11.58,996.77,0.0001462260349306,4.23
456,11.6,1063.33,0.0001508340443901,4.22
457,4.85,8.86,1.691441392850208e-05,0.96
458,4.94,9.48,1.6279932441602803e-05,0.97
459,5.43,10.64,1.6130368979409306e-05,1.06
460,5.57,10.51,1.599645598135043e-05,0.98
461,8.39,18.99,1.6174394997868023e-05,1.7
462,6.05,14.86,1.618252623762882e-05,1.22
463,6.54,18.48,1.6174541146742896e-05,1.43
464,6.27,19.19,1.5813832535027638e-05,1.43
465,7.32,19.08,1.5984555251041043e-05,1.36
466,7.63,23.17,1.5876814211806354e-05,1.64
467,6.03,19.62,1.6131206058240673e-05,1.31
468,6.59,21.36,1.593891396299605e-05,1.35
469,4.7,17.24,1.603462460107359e-05,1.06
470,6.38,27.14,1.6280281323261266e-05,1.61
471,7.77,27.53,1.6008604134663072e-05,1.63
472,7.15,24.95,1.6321842650464412e-05,1.46
473,11.03,45.24,1.5887225707048167e-05,2.39
474,9.99,53.61,1.6063651448006388e-05,2.61
475,8.78,45.72,1.6660443452266684e-05,2.09
476,9.58,51.18,1.6119917188611467e-05,2.29
477,5.94,7.72,1.2018702273293564e-05,1.47
478,6.66,9.09,1.1500746625631246e-05,1.69
479,6.38,8.52,1.1116001236758065e-05,1.54
480,3.72,7.34,1.0857120688945213e-05,1.36
481,5.8,13.38,1.0561508315724456e-05,2.37
482,6.22,11.74,1.0414193295758925e-05,2.06
483,6.48,14.15,1.0160067132052873e-05,2.36
484,6.32,15.16,9.90557143989208e-06,2.46
485,3.79,9.92,9.62873143432866e-06,1.56
486,5.48,13.36,9.35726128732785e-06,2.08
487,4.86,13.16,9.327680083284016e-06,1.99
488,8.23,23.67,9.201081812299887e-06,3.47
489,7.11,18.44,9.18799093590486e-06,2.67
490,4.43,11.42,9.000469402031774e-06,1.54
491,9.79,21.65,8.907060083197286e-06,2.79
492,10.44,20.36,8.899067809687128e-06,2.42
493,8.47,15.24,8.801532975571974e-06,1.91
494,8.47,15.79,8.785504828122986e-06,2.04
495,8.47,17.86,9.110893895831246e-06,2.29
496,8.47,20.63,8.89416745800477e-06,2.67
497,8.59,13.9,1.497835991331011e-05,1.29
498,7.83,13.8,1.53114760948782e-05,1.18
499,8.3,17.34,1.571190154545406e-05,1.4
500,9.43,19.97,1.6175587941989233e-05,1.49
501,9.9,20.58,1.6781166344455558e-05,1.37
502,9.9,21.03,1.729661567649433e-05,1.22
503,7.41,18.59,1.785355653587961e-05,0.96
504,6.75,20.99,1.844199006421384e-05,0.97
505,6.66,23.71,1.9058519183151867e-05,1.02
506,5.97,27.99,1.9709662591693925e-05,1.22
507,6.52,33.08,2.0410027065771485e-05,1.36
508,6.21,33.42,2.108597247518776e-05,1.28
509,6.49,40.35,2.166837817873937e-05,1.41
510,6.64,43.23,2.2228741776269817e-05,1.42
511,5.71,39.49,2.2770891451936727e-05,1.24
512,6.63,45.57,2.336276659972311e-05,1.34
513,6.32,49.02,2.4001669964755144e-05,1.33
514,6.79,59.61,2.4684522545176687e-05,1.52
515,7.17,70.39,2.5980459978798464e-05,1.66
516,7.04,76.82,2.6481557781830428e-05,1.7
517,4.43,13.09,1.551192345504501e-05,0.67
518,5.34,16.61,1.566195142184734e-05,0.82
519,6.43,19.79,1.6154652213637818e-05,0.95
520,6.52,20.26,1.6435191249831402e-05,0.94
521,5.26,17.51,1.689114104102769e-05,0.76
522,5.25,16.7,1.7379750088462927e-05,0.71
523,5.18,17.1,1.8008981384829505e-05,0.7
524,4.23,15.58,1.7884450063127124e-05,0.61
525,3.46,15.14,1.8518827366191727e-05,0.58
526,3.05,12.62,1.89625674680735e-05,0.48
527,2.68,11.46,1.948777422045275e-05,0.43
528,3.21,16.57,1.978561324138469e-05,0.6
529,3.73,18.94,1.997031477289629e-05,0.66
530,2.5,15.04,2.043873198106789e-05,0.5
531,2.94,19.54,2.0506855060123715e-05,0.61
532,1.81,12.35,2.094701060909979e-05,0.38
533,1.81,12.91,2.0820458127123664e-05,0.38
534,0.73,5.18,2.0878844564741787e-05,0.15
535,1.13,7.77,2.1823792271335703e-05,0.21
536,0.63,4.57,2.1772186595445883e-05,0.12
537,14.82,1770.01,7.521006728069464e-05,6.01
538,15.28,1905.8,7.78921045197308e-05,6.28
539,15.88,1998.06,8.106580324580523e-05,6.42
540,16.36,2141.51,8.335082090837468e-05,6.59
541,16.93,2255.1,8.501696169295035e-05,6.62
542,17.13,2403.18,8.701189123402438e-05,6.6
543,16.78,2474.44,8.846582077541256e-05,6.49
544,17.06,2596.57,9.06911473052554e-05,6.57
545,17.28,2698.34,9.264529443800648e-05,6.7
546,17.32,2915.11,9.367756189169308e-05,7.52
