,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,Stillbirth rate (per 1000 total births),per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Diarrheal Diseases
204,11.30811,0.0003825412570725,48.6,8.110481794319041e-05,33.2795,0.0002967619646934,109.0,0.000239163842908
205,10.78096,0.0003533479123112,47.7,7.146540513878302e-05,32.11366,0.0002758675683381,110.0,0.0002203582756674
206,9.9876,0.000326648602772,46.8,6.3363556993135e-05,30.82405,0.0002566422496304,110.0,0.0002102272567575
207,9.09261,0.0003047941850106,46.1,5.6322614088747376e-05,29.65639,0.0002414640717961,110.0,0.0002020773148267
208,8.2027,0.0002780024797546,45.4,4.859667239047095e-05,28.79159,0.0002165282567514,110.0,0.0001909875711582
209,7.42757,0.000252570388701,44.9,4.216438687617815e-05,28.18036,0.0001980335602694,111.0,0.0001835069605506
210,6.81463,0.0002394245978536,44.4,3.8245120536105786e-05,27.91156,0.0001905351251888,111.0,0.0001837708899382
211,6.37554,0.0002335087539682,44.0,3.5927199345992665e-05,27.62674,0.0001889816391443,111.0,0.0001853732829998
212,6.13991,0.000221700403386,43.8,3.3754001829001695e-05,26.96289,0.0001812820133299,111.0,0.0001853777119561
213,6.0953,0.0002160959879706,43.5,3.093242573678464e-05,26.36471,0.0001769164684956,111.0,0.0001875107223867
214,6.27736,0.0002157609212425,43.3,2.926747124188705e-05,25.74755,0.0001757194445307,111.0,0.0001921956497041
215,6.57575,0.0002137723149138,43.1,2.6946475382681214e-05,25.03614,0.0001706992164501,111.0,0.0001897485750575
216,6.87555,0.0002069987899044,43.1,2.4427877142228268e-05,24.28319,0.0001614060051246,111.0,0.0001827207429945
217,2.51807,0.0004676995030692,21.4,3.288512130955861e-05,8.41036,7.307804735457469e-06,119.0,1.826951183864367e-05
218,2.48861,0.0004765265217929,21.8,2.9100856292696413e-05,8.39183,7.275214073174103e-06,119.0,1.818803518293526e-05
