,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Prevalence of hypertension among adults aged 30-79 years, crude","Mean total cholesterol,  age-standardized",per_capita-Neoplasms
190,1.2,9.536,34.9,31.9,4.7,0.0004206560048449
191,1.2,9.573,35.6,31.9,4.6,0.0004314776244226
192,1.2,9.257,36.3,32.0,4.6,0.000450017933883
193,1.2,9.93575,36.9,31.9,4.6,0.0004706636575135
194,1.2,9.93575,37.2,31.8,4.6,0.0004961224486903
195,1.2,9.93575,37.4,31.5,4.5,0.0005336860055197
196,1.1421052631578947,9.93575,37.5,31.2,4.7368421052631575,0.0005542680676464
197,1.1,4.030555555555555,28.5,23.5,4.2,0.000437848382387
198,1.1,2.498,29.3,23.4,4.2,0.0004344963607899
199,1.1,4.030555555555555,30.0,23.4,4.2,0.0004381315854537
200,1.1,2.714,30.8,23.3,4.2,0.0004411614042003
201,1.1,2.809,31.6,23.2,4.2,0.0004429552740901
202,1.1,3.084,32.4,23.1,4.2,0.0004529178055231
203,1.1,3.167,33.2,23.0,4.2,0.0004639390087863
204,1.1,3.293,34.0,22.9,4.2,0.0004688981425572
205,1.1,3.42,34.8,22.7,4.2,0.0004696874050829
206,1.1,3.544,35.7,22.6,4.2,0.0004777217923583
207,1.1,3.635,36.5,22.4,4.2,0.0004871813240488
208,1.1,3.839,37.3,22.3,4.2,0.0004817603937094
209,1.1,4.001,38.1,22.2,4.2,0.0004824507252771
210,1.1,4.218,38.9,22.1,4.2,0.0004919071638469
211,1.1,4.887,39.7,22.0,4.2,0.0005065771191346
212,1.1,4.858,40.5,22.0,4.2,0.0005155845357404
213,1.1,4.974,41.2,22.0,4.2,0.0005325432648594
214,1.1,5.433,42.0,22.0,4.2,0.0005563513037326
215,1.1,5.809,42.7,22.1,4.2,0.000582696039448
216,1.1,6.367,43.5,22.2,4.2,0.0005890381360781
217,1.1,13.444,47.9,37.2,4.3,0.0019511838643671
218,1.1,15.413,48.7,37.6,4.3,0.001964307799757
