,per_capita-Nutritional Deficiencies,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition
308,0.0001134580556935,24.16993,0.0010068598156017,458.0,0.0001091685261777
309,0.0001113682385076,23.56383,0.0010017932474176,450.0,0.0001069926856382
310,0.0001054945019343,22.96156,0.000977899610541,441.0,0.0001013435666374
311,9.802613164082752e-05,22.39787,0.0009439444061919,432.0,9.408933920545292e-05
312,9.675893921959465e-05,21.82784,0.0009431843185055,421.0,9.283498619486332e-05
313,9.198006453127686e-05,21.2638,0.000916542242217,408.0,8.825617527899843e-05
314,8.606004001338913e-05,20.7082,0.000879895967,397.0,8.243645938124643e-05
315,7.845052068588946e-05,20.1741,0.0008381342002146,470.1666666666667,7.50081190853539e-05
316,7.040807144392873e-05,19.59666,0.0007773222814413,470.1666666666667,6.723112187877585e-05
317,5.776797739456519e-05,13.65592,0.0005463200147886,423.0,4.456386827580744e-05
318,5.032630929575636e-05,13.22951,0.0005162505276145,384.0,3.896230397090815e-05
319,4.313491803566779e-05,12.82887,0.0004728865088354,365.0,3.195179113753169e-05
320,3.93232005310205e-05,12.42515,0.0004514303420961,348.0,2.831270438233476e-05
321,3.4086595446340725e-05,12.02248,0.0004183354895687,332.0,2.4790251233702348e-05
322,2.9012195810944315e-05,11.635,0.0003802124608907,310.0,1.9850449765382952e-05
323,2.258338916448988e-05,11.23392,0.0003327286003568,291.0,1.5055592776326586e-05
324,2.524678734631018e-05,10.84631,0.0003489997074342,275.0,1.7821261656218954e-05
325,2.3449373535330144e-05,10.46147,0.0003297568153405,264.0,1.465585845958134e-05
326,2.0256358688024585e-05,10.07834,0.0003081860286106,255.0,1.3021944870872947e-05
327,1.857548864251758e-05,9.71376,0.000292921167055,247.0,1.1431069933856972e-05
328,1.6938936545332124e-05,9.33943,0.0002780808749525,239.0,9.881046318110404e-06
329,1.5343927152613488e-05,8.97942,0.0002622416640628,231.0,8.369414810516449e-06
330,1.37874743552977e-05,8.63985,0.0002523107807019,223.0,8.27248461317862e-06
331,1.2267547022189266e-05,8.34299,0.0002439878796635,214.0,6.815303901216259e-06
332,1.213070429521282e-05,8.06443,0.0002358748057402,203.0,6.739280164007122e-06
333,1.066488918513581e-05,7.81116,0.0002266288951841,193.0,5.332444592567905e-06
334,1.0550081235625517e-05,7.55906,0.0002189141856392,183.0,5.2750406178127575e-06
