,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Mean total cholesterol,  age-standardized","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in non-pregnant women (aged 15-49) (%)
163,38.4,25.48161,5.269549214730655e-06,4.4,33.2,114.0,38.5
164,37.5,24.12379,5.213511024579153e-06,4.4,34.2,114.0,37.5
165,36.7,22.84934,5.04879274036287e-06,4.5,35.2,114.0,36.7
166,36.0,21.58156,4.996319558950977e-06,4.5,36.2,114.0,36.0
167,35.4,20.34067,5.052854470373233e-06,4.5,37.3,114.0,35.4
168,35.0,18.83951,4.895033977388561e-06,4.5,38.4,114.0,35.0
169,34.7,17.32015,4.634701272436167e-06,4.5,39.5,114.0,34.7
170,34.6,15.95007,4.066668759089396e-06,4.5,40.5,114.0,34.6
171,34.6,14.67397,3.819863496661749e-06,4.5,41.6,114.0,34.5
172,34.6,13.53469,3.680688043284892e-06,4.5,42.6,114.0,34.6
173,34.6,12.51922,3.4438174108266527e-06,4.5,43.6,114.0,34.6
174,34.7,11.65183,3.312788689456779e-06,4.5,44.6,114.0,34.7
175,34.8,10.93631,3.312788689456779e-06,4.5,45.6,114.0,34.8
176,35.1,10.36241,3.1595498628804728e-06,4.468421052631579,46.5,114.0,35.1
177,43.3,4.71597,9.16224969879104e-06,4.9,31.5,114.0,43.7
178,42.6,4.35397,1.0415333751930557e-05,4.9,32.2,114.0,42.9
179,41.8,4.09942,8.393592331614046e-06,4.9,33.0,114.0,42.1
180,41.3,3.9017,6.402015866756124e-06,4.9,33.9,114.0,41.5
181,40.7,3.72867,5.895371308171102e-06,4.8,34.8,114.0,40.9
182,40.1,3.57332,5.458717900009389e-06,4.8,35.7,114.0,40.3
183,39.4,3.43106,5.079272201244828e-06,4.8,36.7,114.0,39.6
184,38.7,3.30858,4.74571509384177e-06,4.8,37.6,114.0,38.9
185,38.0,3.22033,4.515520747914732e-06,4.8,38.6,115.0,38.2
186,37.4,3.16918,4.369235340123125e-06,4.7,39.6,115.0,37.5
187,36.9,3.15171,4.237000881296183e-06,4.7,40.5,115.0,37.0
188,36.5,3.16251,4.116225750285049e-06,4.7,41.5,115.0,36.6
189,36.3,3.19495,4.806352074902191e-06,4.7,42.3,115.0,36.4
190,36.1,3.22227,4.68262714113126e-06,4.7,43.1,115.0,36.2
191,35.8,3.23607,5.326884252132085e-06,4.6,43.9,115.0,35.9
192,35.7,3.22501,5.198226959044655e-06,4.6,44.6,115.0,35.7
193,35.6,3.18776,4.3512818876441e-06,4.6,45.3,115.0,35.7
194,35.6,3.12837,4.252478131631208e-06,4.6,45.9,115.0,35.6
195,35.5,3.05603,3.54373177635934e-06,4.5,46.4,115.0,35.6
196,35.4,2.96739,3.392093437248985e-06,4.7368421052631575,47.0,115.0,35.5
197,35.6,44.03898,8.311718627318156e-05,4.2,29.5,110.0,34.7
198,35.5,42.19364,7.621347256094877e-05,4.2,30.3,110.0,34.6
199,35.5,40.44595,7.347856912815854e-05,4.2,31.1,110.0,34.7
200,35.6,38.80368,6.856895556042545e-05,4.2,31.9,110.0,34.8
201,35.7,37.29575,6.289228303079563e-05,4.2,32.7,111.0,35.0
202,35.8,35.87208,6.166281352710073e-05,4.2,33.6,111.0,35.1
