,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Medical doctors (per 10,000)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
354,9.46196,40.1,11.0,10.299,11.18235294117647,2.041176470588236
355,9.16383,38.3,11.0,8.435,11.18235294117647,2.041176470588236
356,8.89921,36.9,10.0,8.435,11.18235294117647,2.041176470588236
357,3.97255,25.3,5.0,14.547,10.8,0.9
358,3.87186,25.0,5.0,14.499,11.1,0.8
359,3.76318,24.8,5.1,14.478,11.5,0.8
360,3.6693,24.8,5.1,14.776,11.8,0.8
361,3.61028,24.8,5.2,15.09,12.2,0.8
362,3.57437,24.8,5.2,15.332,12.6,0.7
363,3.56247,24.7,5.2,15.754,12.9,0.7
364,3.54564,24.5,5.2,16.429,13.3,0.7
365,3.47728,24.2,5.2,16.714,13.7,0.7
366,3.35775,23.9,5.2,17.38,14.1,0.7
367,3.24692,23.6,5.1,17.987,14.5,0.6
368,3.13984,23.4,5.0,18.794,14.9,0.6
369,3.04261,23.2,4.6,19.49,15.3,0.6
370,2.97014,23.1,4.2,20.355,15.8,0.6
371,2.93228,23.1,3.8,21.326,16.2,0.6
372,2.90058,23.2,3.6,21.616,16.7,0.6
373,2.85793,23.4,3.5,17.1604375,17.1,0.5
374,2.8245,23.6,3.2,17.1604375,13.794117647058824,0.6882352941176471
375,2.79211,23.9,3.0,17.1604375,13.794117647058824,0.6882352941176471
376,2.76195,24.3,2.8,17.1604375,13.794117647058824,0.6882352941176471
377,11.78852,44.2,44.0,3.037,3.9,15.6
378,12.46746,43.6,41.0,3.045,4.1,15.4
379,13.08806,42.9,34.0,3.144,4.4,15.1
380,13.73564,42.3,33.0,3.033,4.6,14.9
381,14.54209,41.5,28.0,4.05,4.9,14.6
382,15.26526,40.0,24.0,2.59,5.1,14.4
383,15.33133,38.4,28.0,3.219,5.4,14.2
384,15.26697,37.7,34.0,3.78,5.6,13.9
385,15.21773,37.6,23.0,3.738,5.9,13.7
386,15.28589,37.5,24.0,3.547,6.1,13.5
387,15.52074,37.5,28.0,4.122,6.4,13.3
388,15.7229,38.3,28.0,4.064,6.6,13.1
389,15.88543,38.7,23.0,4.015,6.9,12.9
390,16.01991,39.1,18.0,3.5340666666666665,7.2,12.7
391,15.91617,40.0,20.0,3.5340666666666665,7.5,12.4
392,15.6888,41.3,24.0,3.5340666666666665,7.8,12.2
393,15.43646,42.5,16.0,3.843,8.1,12.0
394,15.37053,43.1,17.0,3.5340666666666665,5.911764705882353,13.758823529411766
395,15.34035,43.2,17.0,3.784,5.911764705882353,13.758823529411766
396,15.22884,43.3,28.0,3.5340666666666665,5.911764705882353,13.758823529411766
397,9.95702,25.9,4.2,20.51725,11.0,3.8
398,9.72301,25.0,4.0,20.51725,11.4,3.6
399,9.54798,24.3,3.7,20.51725,11.9,3.5
400,9.37645,23.7,3.6,20.51725,12.3,3.4
401,9.15166,23.0,3.5,20.51725,12.8,3.2
402,8.93773,22.2,3.2,20.51725,13.2,3.1
403,8.7878,21.4,3.1,20.51725,13.7,3.0
404,8.66998,20.6,3.0,20.51725,14.1,2.9
405,8.58518,19.7,3.0,20.51725,14.6,2.7
406,8.54016,18.7,2.9,20.51725,15.0,2.6
407,8.46821,17.7,2.8,20.51725,15.5,2.5
408,8.42015,16.7,2.7,18.491,16.0,2.4
409,8.38228,15.9,2.6,20.51725,16.5,2.3
410,8.32989,15.1,2.6,18.82,17.0,2.3
411,8.28527,14.3,2.5,20.51725,17.5,2.2
412,8.17096,13.7,2.6,20.51725,18.0,2.1
413,8.22515,13.0,2.5,20.51725,18.5,2.0
414,7.79149,12.5,2.5,21.652,14.647058823529411,2.8000000000000003
415,7.6142,11.9,2.5,20.51725,14.647058823529411,2.8000000000000003
416,7.47693,11.6,2.5,23.106,14.647058823529411,2.8000000000000003
417,5.08424,17.0,5.7,10.084,5.3,11.1
418,5.0384,16.7,4.8,13.532866666666669,5.6,10.7
419,4.96691,16.6,3.5,11.534,6.0,10.4
420,4.86333,16.7,3.3,13.532866666666669,6.3,10.1
421,4.74701,16.6,4.4,12.883,6.7,9.7
422,4.62589,16.7,4.1,10.682,7.1,9.4
423,4.52786,16.9,3.3,10.775,7.5,9.1
424,4.45251,17.0,2.9,10.48,7.9,8.7
425,4.38937,17.0,2.8,14.866,8.3,8.4
426,4.32779,16.9,3.7,11.592,8.8,8.1
427,4.28432,16.9,4.0,14.488,9.3,7.8
428,4.2517,17.0,1.9,15.443,9.8,7.4
429,4.25501,17.1,4.7,14.937,10.3,7.1
430,4.29759,17.2,5.7,16.222,10.8,6.8
431,4.33862,17.4,5.1,15.105,11.3,6.6
432,4.35262,17.8,4.5,17.812,11.9,6.3
433,4.40621,18.2,4.4,13.532866666666669,12.5,6.0
434,4.49694,18.8,5.2,16.09,8.552941176470588,8.452941176470588
435,4.57461,19.3,3.8,13.532866666666669,8.552941176470588,8.452941176470588
436,4.6087,20.0,5.1,13.532866666666669,8.552941176470588,8.452941176470588
437,7.61028,28.8,4.4,34.416,17.1,0.7
438,7.61849,28.4,4.0,34.279,17.6,0.7
439,7.83033,28.3,3.9,35.199,18.1,0.7
440,7.90427,28.1,3.8,36.042,18.5,0.6
441,7.78927,27.8,3.7,35.387,19.0,0.6
442,7.57787,27.3,3.6,36.651,19.5,0.6
443,7.26416,26.8,3.6,36.805,20.0,0.6
444,7.14075,26.3,3.7,36.8,20.5,0.6
445,7.03039,25.9,3.2,36.488,21.1,0.5
446,6.90548,25.6,2.7,37.401,21.6,0.5
447,6.77726,25.2,2.7,37.661,22.1,0.5
448,6.61143,24.8,2.3,38.467,22.7,0.5
449,6.35852,24.4,2.3,38.995,23.2,0.5
450,6.02735,24.1,2.1,39.63,23.8,0.4
451,5.86985,23.8,1.7,39.75,24.4,0.4
452,5.83079,23.7,1.6,40.332,24.9,0.4
453,5.80621,23.6,1.6,37.43376470588235,25.5,0.4
454,5.52018,23.7,1.4,37.43376470588235,21.15294117647059,0.5411764705882353
455,5.25179,23.9,1.4,42.071,21.15294117647059,0.5411764705882353
456,5.01991,24.1,1.4,37.43376470588235,21.15294117647059,0.5411764705882353
457,29.67065,88.2,15.0,0.5790769230769232,0.8,13.9
458,29.38406,88.3,16.0,0.5790769230769232,0.9,13.8
