,Mean BMI (kg/m²) (age-standardized estimate),Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),Maternal mortality ratio (per 100 000 live births),per_capita-Tuberculosis,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),"Mean Non-HDL cholesterol, age-standardized"
218,25.1,0.97928,48.0,7.275214073174103e-06,8.39183,21.8,3.1
219,25.2,0.95207,47.0,7.240657741349224e-06,8.44198,22.1,3.2
220,25.3,0.92567,45.0,7.205986733778423e-06,8.45959,22.4,3.2
221,25.4,0.89996,43.0,7.173138032695163e-06,8.48007,22.5,3.2
222,25.4,0.87261,42.0,7.14191339001632e-06,8.53042,22.5,3.2
223,25.5,0.84466,41.0,7.1121984872353815e-06,8.55103,22.5,3.2
224,25.6,0.81691,40.0,7.083181340067078e-06,8.50838,22.4,3.2
225,25.7,0.7895,39.0,7.054723490112805e-06,8.49794,22.2,3.2
226,25.8,0.76261,38.0,7.027678511818798e-06,8.46461,22.1,3.2
227,25.9,0.73802,36.0,7.0015018221408496e-06,8.40477,21.9,3.2
228,25.9,0.71304,35.0,6.975811374060445e-06,8.33981,21.8,3.2
229,26.0,0.68844,34.0,6.950888497322171e-06,8.30298,21.5,3.2
230,26.1,0.66635,32.0,6.927006667243917e-06,8.1703,21.3,3.2
231,26.2,0.64259,31.0,6.904170118751726e-06,8.03267,21.1,3.3
232,26.3,0.62044,31.0,6.882217725839974e-06,7.89507,20.8,3.3
233,26.4,0.59873,30.0,6.861181152335375e-06,7.75926,20.6,3.3
234,25.694117647058825,0.57958,27.0,6.84144272344152e-06,7.63029,20.3,3.3
235,25.694117647058825,0.55809,38.27777777777778,6.84144272344152e-06,7.51074,20.1,3.3
236,25.694117647058825,0.54079,38.27777777777778,6.805637790345522e-06,7.40215,20.0,3.2157894736842105
237,25.2,1.5198,22.0,6.57783467051078e-05,5.00399,24.8,3.8
238,25.3,1.46533,19.0,7.330154666263459e-05,4.76324,24.0,3.8
239,25.4,1.4121,18.0,8.257000444692712e-05,4.53488,23.4,3.8
240,25.5,1.35971,15.0,8.339045815283068e-05,4.31477,22.8,3.7
241,25.6,1.30798,13.0,8.147361933921953e-05,4.07406,22.2,3.7
242,25.6,1.25757,11.0,8.58383974929479e-05,3.81261,21.4,3.7
243,25.7,1.20824,9.0,8.263586072775262e-05,3.51496,20.7,3.6
244,25.8,1.15894,7.0,7.732868072437642e-05,3.18957,19.8,3.6
245,25.9,1.10963,6.0,7.52650693264592e-05,2.91108,18.9,3.6
