,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,per_capita-Malaria,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition,Mean hemoglobin level of children aged 6-59 months,per_capita-Meningitis
50,3.84461,0.000151651679989,0.0,115.0,2.791820323804255e-06,114.0,1.0916017466074638e-05
51,3.72176,0.0001529904991878,0.0,114.0,2.732466068843572e-06,114.0,1.0791860938564008e-05
52,3.61643,0.0001537653012031,0.0,114.0,2.674653801545492e-06,114.0,1.0562153277531684e-05
53,3.53372,0.0001502771610784,0.0,113.0,2.5914509544691786e-06,114.0,8.206261355819066e-06
54,3.4667,0.000149691371378,0.0,112.0,2.510435131050589e-06,114.0,8.012027013991242e-06
55,3.40788,0.0001523353402926,0.0,125.55555555555556,2.4837283743372854e-06,114.0,7.905199987138027e-06
56,3.34704,0.0001513894970749,0.0,125.55555555555556,2.407161031956214e-06,114.0,7.640119797078419e-06
57,43.17231,0.001743110310568,0.0008703329989618,827.0,0.0007199683469397,99.0,0.0003251724304872
58,41.93447,0.0016851092901429,0.0009488404727815,766.0,0.0006788752397489,100.0,0.0003216656139381
59,40.53535,0.001605997800208,0.0010019528765647,690.0,0.000626566603566,101.0,0.0003241326160315
60,38.96964,0.0015234778666127,0.0010770311029645,628.0,0.0005845499453993,102.0,0.0003044350012815
61,37.20527,0.0014930925086559,0.0011844008367297,574.0,0.0005720470924199,102.0,0.0003074342720405
62,35.35193,0.0014093179239782,0.001208296308975,519.0,0.0005287904389272,103.0,0.0002951341259006
63,33.42133,0.0013349979091939,0.001155551035763,473.0,0.0004866378187837,104.0,0.0002718014959738
64,31.49849,0.0012665670697545,0.0010432055647171,431.0,0.0004490869619302,104.0,0.0002611847347233
65,29.55372,0.0011921455272092,0.0008573436655096,395.0,0.0004100096254758,104.0,0.0002497195855859
66,27.73341,0.0011007798845892,0.0006841918953624,359.0,0.0003681138325322,105.0,0.0002354890227465
67,26.01003,0.0010371491377744,0.0005893959656564,326.0,0.0003402008769413,105.0,0.0002265463238825
68,24.35412,0.0009611434272449,0.0005113786888004,300.0,0.0003040799492588,105.0,0.0002131694489649
69,22.83246,0.0008994758106857,0.0004735249172688,281.0,0.0002741460047345,105.0,0.0002017049998471
70,21.49714,0.0008335457371259,0.0004616146666991,269.0,0.0002436269705344,105.0,0.0001746810226493
