,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
1146,2.67,38.8715,35.18,38.39
1147,1.04,38.16615,37.38,16.58
1148,0.44,37.3833,35.82,7.03
1149,0.5,36.52433,58.71,8.49
1150,0.55,35.93077,64.34,7.84
1151,0.6,35.12434,55.39,5.98
1152,0.54,34.50002,66.92,6.61
1153,0.48,33.77039,64.58,5.82
1154,0.5,33.27191,68.41,7.12
1155,0.55,32.69818,63.91,7.26
1156,0.53,32.18564,65.16,6.38
1157,1.79,18.12711,40.25,56.11
1158,1.63,17.86591,42.26,53.43
1159,1.74,17.64485,40.3,54.34
1160,1.73,17.43131,38.46,52.9
1161,1.74,17.2756,37.15,50.61
1162,1.78,17.02452,35.12,46.93
1163,1.65,16.94958,35.29,42.02
1164,1.68,16.75414,32.99,39.33
1165,1.69,16.56729,35.33,40.33
1166,1.88,16.33952,32.85,43.22
1167,1.82,16.09464,34.75,43.12
1168,2.03,15.93105,34.81,48.58
1169,1.8,15.60489,38.9,48.46
1170,1.89,15.29759,37.96,49.66
1171,2.18,14.98673,35.95,55.1
1172,2.36,14.7182,33.71,58.59
1173,2.53,14.4474,29.94,63.01
1174,2.79,14.2304,28.84,64.64
1175,2.95,14.01505,33.73,60.17
1176,2.93,13.82662,34.83,59.45
1177,0.86,23.80285,44.37,21.82
1178,0.72,23.53099,45.21,19.39
1179,0.49,23.40045,48.18,14.24
1180,0.5,23.28831,48.06,14.62
1181,0.59,23.2156,46.49,17.1
1182,0.59,23.11682,46.02,17.65
1183,0.29,22.8674,43.06,8.32
1184,0.81,22.64714,40.12,21.73
1185,0.84,22.39902,38.58,22.15
1186,0.8,22.19342,39.27,22.33
1187,0.83,22.59277,33.31,17.87
1188,0.42,21.73252,26.09,7.13
1189,0.46,21.49951,28.44,8.22
1190,0.49,21.23354,36.24,11.58
1191,0.48,20.96569,31.02,10.36
1192,0.56,20.77184,33.96,11.05
1193,0.54,20.5493,35.29,11.02
1194,0.56,20.37803,39.94,11.77
1195,0.56,20.09817,44.35,12.19
1196,0.52,19.8617,43.3,11.02
1197,3.02,13.89427,45.95,48.23
1198,2.49,13.64749,52.52,42.01
1199,2.54,13.37731,51.85,40.68
1200,2.61,13.0423,48.32,37.93
1201,2.45,12.66561,50.06,35.76
1202,2.92,12.28131,49.06,38.93
1203,3.27,11.82792,49.86,41.64
1204,3.33,11.40193,49.8,41.24
1205,3.32,10.99021,51.42,38.57
1206,3.97,10.53073,44.91,44.1
1207,3.7,10.05598,46.26,42.36
1208,3.89,9.59543,45.8,44.29
1209,3.38,9.23339,49.86,39.08
1210,3.49,9.17836,49.26,41.21
1211,3.19,9.18445,48.69,40.34
1212,2.95,9.06555,50.66,39.39
1213,3.07,8.93494,49.88,39.98
1214,2.84,8.80509,49.82,40.59
1215,2.83,8.64237,52.31,39.23
1216,2.85,8.51092,52.61,39.16
1217,4.67,4.2957,27.36,68.85
1218,4.57,4.22446,28.87,66.9
1219,4.93,4.16755,27.56,69.24
1220,5.68,4.009,26.39,69.98
1221,5.41,3.91554,25.87,69.62
1222,5.61,3.83421,25.8,70.16
1223,5.48,3.76524,25.05,70.35
1224,4.89,3.68785,27.01,67.79
1225,4.81,3.69287,26.95,67.75
1226,4.92,3.57413,26.27,67.98
1227,4.97,3.50086,27.45,66.63
1228,4.96,3.4901,28.24,66.22
1229,4.82,3.57172,29.4,64.84
1230,4.8,3.75204,28.38,66.21
1231,4.71,3.90628,28.36,66.72
1232,4.65,3.80768,27.49,67.79
1233,4.74,3.67088,27.69,67.71
1234,4.62,3.5344,27.37,68.34
1235,4.55,3.40631,26.43,69.56
1236,4.32,3.29874,28.16,67.98
1237,7.19,2.6949,19.43,80.57
1238,7.07,2.6095,19.47,80.53
1239,7.71,2.52614,18.57,81.43
1240,7.91,2.47201,17.39,81.28
1241,7.55,2.41089,17.7,80.95
1242,7.25,2.35739,17.59,81.0
1243,6.98,2.30053,16.95,81.58
1244,6.85,2.2359,16.47,82.02
1245,6.86,2.17385,16.27,82.21
1246,7.16,2.11965,16.87,81.64
1247,6.68,2.07542,18.66,79.86
1248,6.56,2.04501,18.5,80.01
1249,6.54,2.01445,18.57,79.92
1250,6.56,1.99124,18.26,80.23
1251,6.62,1.98308,17.98,80.49
1252,6.52,1.9742,17.64,80.81
1253,6.6,1.95511,16.87,81.51
1254,6.81,1.93785,16.35,81.97
1255,6.96,1.92005,15.86,82.47
1256,7.16,1.90289,15.46,82.89
1257,0.83,29.63789,71.7,20.68
1258,0.8,28.94958,74.11,18.88
1259,0.77,28.28987,73.37,18.16
1260,0.75,27.6962,73.42,18.72
1261,0.71,26.88168,72.48,17.98
1262,0.76,25.85684,73.15,20.13
1263,0.75,24.82704,72.26,20.51
1264,0.74,23.67104,70.82,20.9
1265,0.8,22.45882,69.15,22.63
1266,0.89,21.27075,66.76,25.61
1267,0.86,20.16935,65.18,26.21
1268,0.94,19.3146,62.22,28.87
1269,0.93,18.80296,63.0,27.99
1270,0.87,18.28673,69.07,23.07
1271,0.86,17.77421,67.01,23.66
1272,0.92,16.95295,64.66,25.64
1273,0.94,16.05746,63.21,26.84
1274,0.97,15.1706,55.11,32.95
1275,0.89,14.43921,55.32,30.08
1276,0.99,13.92757,54.78,32.79
1277,0.55,15.2092,45.2,29.67
1278,0.77,14.82287,40.49,36.45
1279,0.67,14.51757,46.38,34.04
1280,0.82,14.17005,46.02,36.38
1281,0.75,13.75427,45.91,35.34
1282,0.73,13.36507,55.33,28.92
1283,0.83,13.10164,53.38,31.72
1284,1.02,12.83874,49.55,36.07
1285,0.9,12.55872,49.37,35.23
1286,0.92,12.23098,49.22,35.13
1287,0.66,11.85718,60.58,23.69
1288,0.7,11.54789,56.22,23.48
1289,0.77,11.25764,53.62,26.33
1290,0.82,10.94835,50.9,28.47
1291,0.99,10.67452,45.25,33.48
1292,1.16,10.39072,43.05,39.6
1293,1.38,10.12712,38.52,45.53
