,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
2822,3.96,11.90591,38.0,58.13
2823,3.58,11.88998,39.5,53.99
2824,3.61,11.35833,39.84,54.68
2825,3.84,11.09014,38.82,56.05
2826,3.83,10.95093,38.69,56.2
2827,3.98,10.79415,37.94,57.14
2828,2.84,12.11958,28.6,61.68
2829,3.29,11.59466,23.43,67.25
2830,3.54,11.03428,20.32,69.97
2831,3.57,10.44584,18.93,71.21
2832,3.52,9.82216,20.18,71.7
2833,3.32,9.12463,24.18,67.75
2834,3.54,8.48003,23.65,68.85
2835,3.6,7.82533,23.88,68.78
2836,3.79,7.23316,19.18,72.69
2837,4.42,6.68786,14.51,80.5
2838,3.92,6.17759,16.87,78.0
2839,3.68,5.74811,15.9,79.13
2840,3.52,5.48474,15.93,79.17
2841,3.42,5.36543,16.93,78.35
2842,3.36,5.05305,17.73,77.61
2843,3.22,4.79911,16.95,78.13
2844,3.36,4.75389,16.47,78.44
2845,3.25,4.55052,17.38,77.71
2846,3.19,4.43113,17.49,77.38
2847,3.38,4.43182,16.89,77.92
2848,3.21,10.10829,50.01,46.65
2849,2.82,10.0062,61.27,34.58
2850,2.43,9.86051,61.14,34.63
2851,2.71,9.70885,63.7,31.82
2852,2.42,9.52041,72.19,22.89
2853,2.02,9.3424,73.83,21.15
2854,1.55,9.1876,76.42,18.36
2855,1.39,9.01589,69.0,26.23
2856,0.95,8.8704,78.48,16.03
2857,1.17,8.77947,70.73,24.25
2858,1.2,8.69466,71.0,24.05
2859,1.27,8.66425,68.97,25.98
2860,1.28,8.60283,68.29,26.73
2861,1.47,8.58526,66.85,28.54
2862,1.48,8.55537,68.21,26.96
2863,1.51,8.58222,71.07,23.95
2864,1.23,8.57576,76.16,18.58
2865,1.55,8.62442,72.73,22.32
2866,1.2,8.63365,76.34,18.11
2867,1.18,8.58308,76.79,17.99
2868,1.26,23.31527,43.13,24.78
2869,1.34,22.94397,43.5,26.54
2870,1.45,22.42827,44.14,30.53
2871,1.46,21.96439,45.42,33.97
2872,1.36,21.56225,38.38,28.94
2873,1.0,21.26993,48.6,17.19
2874,0.94,21.14739,54.05,14.61
2875,0.91,21.10789,54.48,14.93
2876,0.89,21.03704,52.72,16.36
2877,0.81,21.01032,42.85,14.01
2878,1.06,20.78,37.39,15.62
2879,0.91,20.46843,33.01,13.57
2880,0.92,20.11304,37.51,15.14
2881,0.97,19.71901,42.52,16.85
2882,0.95,19.32502,40.15,17.82
2883,0.77,18.98726,39.47,15.15
2884,0.78,18.65917,40.61,15.68
2885,0.64,18.34858,38.09,15.97
2886,0.68,18.09074,35.63,16.77
2887,0.58,17.83072,38.26,15.12
2888,2.51,6.79603,48.39,47.32
2889,2.8,6.63156,47.17,48.91
2890,3.07,6.42512,45.12,51.25
2891,3.65,6.23208,41.03,55.75
2892,3.4,6.0518,41.41,55.2
2893,3.73,5.83812,37.96,58.72
2894,3.88,5.64009,36.13,60.42
2895,3.56,5.47706,36.46,59.2
2896,3.19,5.37183,37.79,58.07
2897,3.85,5.27902,37.41,58.24
2898,3.69,5.19212,41.85,54.12
2899,3.42,5.0845,46.31,50.23
2900,3.74,4.99469,43.94,52.56
2901,3.34,4.91347,48.17,48.1
2902,3.45,4.83008,48.17,48.0
2903,3.68,4.75243,48.29,47.34
2904,3.64,4.68263,48.4,48.23
2905,3.51,4.63731,49.23,47.2
2906,3.49,4.58615,50.66,46.42
2907,3.18,4.52217,51.12,44.79
2908,1.63,8.43024,22.08,68.83
2909,1.91,8.23973,15.09,77.01
2910,1.66,7.93566,28.04,61.23
2911,1.62,7.67328,27.46,61.28
2912,1.41,7.51216,30.41,57.11
2913,1.32,7.40657,30.14,56.84
2914,1.33,7.32866,29.71,57.3
2915,1.51,7.23027,28.88,58.67
2916,1.87,6.94827,25.14,63.91
2917,2.98,6.544,16.1,73.68
2918,2.75,6.11272,17.95,70.85
2919,2.66,5.66314,16.88,72.42
2920,2.48,5.4008,16.74,72.54
2921,2.59,5.27635,17.16,71.97
2922,2.58,5.20114,17.81,70.98
2923,2.55,5.15101,17.79,71.25
2924,2.5,5.06662,18.8,72.13
2925,2.23,4.97514,11.42,54.81
2926,2.14,4.96235,12.7,51.58
2927,2.24,4.93337,12.51,52.3
2928,5.52,4.44815,17.71,76.72
2929,5.79,4.40031,17.89,76.49
2930,6.15,4.36442,17.27,77.46
2931,6.37,4.33621,16.51,78.56
2932,6.73,4.29688,15.21,80.17
2933,6.86,4.24687,13.94,81.29
2934,7.06,4.17209,13.29,82.05
2935,7.06,4.09588,15.0,80.39
2936,7.39,4.00959,13.79,81.5
2937,8.18,3.91327,12.94,82.74
2938,8.08,3.79675,13.59,82.15
2939,8.07,3.66167,13.84,81.89
2940,8.05,3.50132,14.56,81.22
2941,7.97,3.33463,15.97,79.9
2942,7.96,3.16676,15.93,80.01
2943,7.92,3.00821,16.08,80.01
2944,7.93,2.99917,16.29,80.29
2945,7.81,3.03253,16.74,79.66
2946,7.86,3.04742,17.0,79.38
2947,8.07,3.04298,17.07,79.47
2948,5.54,3.31203,15.11,44.39
2949,5.97,3.27058,14.41,45.34
2950,6.32,3.18871,14.33,45.21
2951,6.52,3.11422,14.15,44.98
2952,6.61,3.0956,13.98,45.29
2953,6.63,2.98531,13.92,45.39
2954,6.81,2.9629,13.68,46.26
2955,6.92,2.99037,13.59,46.34
2956,7.25,3.08445,13.35,47.5
2957,7.88,2.96991,12.64,48.51
2958,7.94,2.97287,12.36,48.86
2959,7.93,2.96543,12.32,48.94
2960,7.9,2.97203,12.33,48.84
2961,7.95,2.97982,12.25,49.46
2962,8.24,3.00133,11.93,50.69
2963,8.45,3.01931,11.74,51.15
2964,8.56,3.03359,11.63,50.8
2965,8.51,3.03266,11.4,50.65
2966,8.47,3.02089,11.3,50.77
2967,8.52,3.00283,11.31,50.84
2968,3.83,7.33634,25.17,41.55
2969,4.4,7.08869,24.06,44.9
2970,4.64,6.93544,21.7,47.93
2971,5.04,6.89255,21.36,52.37
2972,4.34,6.72205,24.3,52.31
2973,3.5,6.46481,25.94,45.18
2974,3.69,6.23625,23.77,47.69
2975,3.64,5.92875,23.36,48.53
2976,4.58,5.48825,21.29,56.31
2977,4.72,5.08459,20.75,59.33
2978,4.75,4.87447,20.47,60.0
2979,4.89,4.83522,19.43,61.49
2980,5.18,4.90609,18.46,64.22
2981,5.39,4.97689,17.69,66.44
2982,5.5,4.93987,17.1,68.12
2983,5.67,4.8331,16.92,68.4
2984,6.03,4.8066,16.44,69.53
2985,6.11,4.85474,16.5,69.3
2986,6.23,4.79253,16.25,69.12
2987,6.23,4.71009,15.46,66.6
2988,2.13,11.16275,60.78,39.1
2989,2.16,10.99865,60.84,38.84
2990,2.05,10.76045,62.07,37.61
2991,2.01,10.53107,59.29,36.54
2992,1.91,10.34722,59.55,37.28
2993,1.92,10.10963,57.62,37.96
2994,2.04,9.8919,56.89,40.57
2995,1.9,9.65878,58.13,39.57
2996,2.03,9.41466,57.31,40.72
2997,2.12,9.14019,56.42,41.63
2998,2.26,8.87966,54.61,43.34
2999,2.22,8.64439,54.45,43.24
3000,2.48,8.35729,52.8,45.42
3001,2.55,8.05902,52.92,44.98
3002,2.44,7.74024,45.41,52.2
3003,2.48,7.45385,48.41,49.78
3004,2.16,7.18153,54.66,43.59
3005,2.11,6.92159,56.69,41.5
3006,2.02,6.74317,60.34,38.17
3007,2.34,6.54713,57.68,41.59
3008,3.36,9.79084,41.25,45.87
3009,3.53,9.64838,41.5,44.95
3010,3.55,9.4193,41.18,46.04
3011,3.78,9.26864,34.46,50.37
3012,3.67,9.32593,31.34,54.17
3013,2.81,9.34857,36.56,46.48
3014,4.6,9.22852,27.48,56.81
3015,4.02,8.96441,31.15,51.67
3016,2.55,8.81808,38.13,39.84
3017,2.59,8.81399,39.53,34.39
3018,2.59,8.80297,38.46,37.87
3019,3.08,8.85454,34.72,42.9
3020,2.85,8.865,29.07,44.27
3021,2.16,8.74831,31.28,38.54
3022,1.99,8.56482,29.78,34.47
3023,1.97,9.33481,24.99,45.27
3024,1.85,9.36403,27.74,47.28
3025,2.79,9.33251,27.29,59.82
3026,3.21,9.33581,20.26,65.19
3027,2.47,9.35423,18.46,46.04
3028,1.33,13.26348,37.19,34.9
3029,1.2,12.72469,31.61,26.49
3030,1.31,12.26503,37.14,36.47
3031,1.21,11.81737,37.14,32.92
3032,1.35,11.42347,37.31,35.66
3033,1.47,11.04202,37.27,36.73
3034,1.53,10.70143,37.34,36.03
3035,1.52,10.42019,37.3,35.31
3036,1.53,10.12715,37.19,37.68
3037,1.51,9.86676,37.26,36.25
3038,1.86,9.61847,37.42,39.62
3039,1.78,9.40247,37.41,38.69
3040,2.1,9.15135,40.78,41.91
3041,2.39,8.92878,41.27,47.11
3042,1.94,8.66957,41.72,41.96
3043,1.91,8.44716,43.48,41.81
3044,2.14,8.2835,44.57,47.43
3045,2.17,8.11556,45.09,46.11
3046,2.1,7.983,44.58,41.63
3047,2.3,7.81243,42.95,43.8
3048,3.18,20.6585,26.59,44.48
3049,3.11,20.48292,26.75,47.4
3050,2.96,20.27709,24.36,43.54
3051,2.44,19.89038,23.7,33.94
3052,2.42,19.58096,25.01,34.26
3053,1.83,19.21923,31.46,26.68
3054,1.73,18.88584,32.57,29.37
3055,0.98,18.61397,33.17,22.47
3056,0.58,18.36476,35.07,14.45
3057,0.44,17.83811,25.94,9.9
3058,0.84,17.3069,24.47,22.62
3059,1.2,16.80535,21.58,34.79
3060,1.3,16.44981,17.43,33.02
3061,1.31,16.2115,11.42,27.92
3062,1.89,15.97505,13.82,49.46
3063,2.09,15.70936,12.25,47.14
3064,1.71,15.4053,12.16,38.29
3065,1.77,15.12863,11.85,40.34
3066,1.96,14.88168,10.34,39.0
3067,2.13,14.75985,10.23,40.08
3068,2.75,23.72957,34.43,26.28
3069,2.12,23.03257,37.22,26.23
3070,2.0,22.24707,34.97,28.89
3071,2.02,21.30467,29.76,28.38
3072,2.73,19.37633,24.83,33.58
3073,1.55,17.64418,25.79,20.82
3074,1.79,16.58867,23.31,23.31
3075,1.79,16.02393,22.81,24.02
3076,2.78,15.94023,19.7,32.06
3077,1.36,16.04652,24.38,17.63
