,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,Mortality rate attributed to unintentional poisoning (per 100 000 population)
2350,-0.22962662550396304,3.481953636758127,-0.48504502159339746,-0.530155377382117,0.47350277557501574
2351,-0.21303627958678786,3.4507665972599906,-0.4234830066007187,-0.5280699563406754,0.42918289408631866
2352,-0.23126025202205744,3.393099484689214,-0.4090089036917951,-0.5281709947672684,1.601099683638545
2353,-0.23786896126128793,3.537987248632435,-0.4587226108940183,-0.5290813861605524,3.0811905812975264
2354,-0.24238080492810327,3.6981092040277495,-0.46531766418770076,-0.5290285039494166,0.24889080663798646
2355,1.158400282769717,-0.41936277875822403,-0.39922117710287763,2.9260272421487405,3.509089713921919
2356,1.1848008501025982,-0.4314480110269484,-0.44737173281010345,2.7011346594858665,2.9468036143496152
2357,1.1829057766189346,-0.4390800769534549,-0.47581098277605155,2.4972315647318544,1.4157907095094306
2358,1.1174783728019082,-0.44619561449038825,-0.5028607745828335,2.289677842263009,2.4284911946427585
2359,0.9786706540672502,-0.45118186301999175,-0.5269195835276492,2.260567577054324,1.6555869601679543
2360,0.7714618367406588,-0.4556690752592957,-0.550819124779682,2.019226434033243,1.4441913900413135
2361,0.5329691227878526,-0.4578187328595398,-0.5644276176062772,1.6995559716951367,1.6807624992621915
2362,0.37320528581803314,-0.46047324100105685,-0.5711933886845199,1.4503656529725482,1.1221327747284235
2363,0.2772150850122142,-0.4612922551793719,-0.5757576329313774,1.1928026091326394,0.6394305325148147
2364,0.18913057456847696,-0.46215357270389507,-0.5825013026929364,0.8600549914467006,0.40245248454380067
2365,0.10993978491970173,-0.4612000913159986,-0.5794848764662466,0.7518460694642239,0.4164949082798384
2366,0.05050023355375989,-0.4603673665750965,-0.5736179664847686,0.6313327963909953,0.3246421512901762
2367,0.006666784611848863,-0.4579190756541934,-0.5635632803926499,0.5423153512753219,0.26091068404872114
2368,-0.030529082649032927,-0.4573333688350978,-0.5591975193231468,0.37251178965294146,0.1826751909068949
