Drug Use Disorders,per_capita-Interpersonal Violence,per_capita-Cirrhosis and Other Chronic Liver Diseases,Total NCD Deaths (in thousands),Estimated road traffic death rate (per 100 000 population)
-0.1618741546764595,-0.3053056407475423,0.5182879171782048,27266.0,1.318026525232859
-0.1612997337990784,-0.2999950518792458,0.5593959031455874,61842.41,0.6598988959708536
-0.1601508920443164,-0.3021501502379013,0.5823223101570817,61663.8,1.1867038425633327
-0.1592892607282449,-0.3039173700702454,0.5965801896867988,64652.71,0.4399035297884013
-0.1584276294121734,-0.3064935497596964,0.5835284114567869,29383.86,0.8312040299368412
-0.1575659980961019,-0.3143421870798296,0.5322474584558594,35279.6,0.4430433866212826
-0.1567043667800304,-0.3198119485499447,0.516609688468713,30363.73,0.4788241174260727
-0.1555555250252684,-0.3326578238870423,0.4845797169125792,31248.76,0.0020381878008388
-0.1541194728318159,-0.3300299475027735,0.5231646041711893,36811.98,0.6330679212816098
-0.1526834206383634,-0.3227577823443319,0.5715719393517135,70000.51,-0.0040136866773686
-0.1512473684449108,-0.3340759489281373,0.5052309359512249,33245.64,0.6877243803984785
-0.1621613651151499,-0.1245120555221552,-0.3435690488597119,104787.2,-0.5317258323706615
-0.1612997337990784,-0.1215547718223494,-0.3409153490297945,108427.3,-0.5173204087020075
-0.1610125233603879,-0.1007637931154264,-0.3223896062499833,123796.3,-0.6696442100609544
-0.1615869442377689,-0.1666598386269278,-0.315856846962912,115230.5,-1.1186595362307483
-0.1615869442377689,-0.2569918763590623,-0.3490782920589336,113365.6,-1.0929885457263218
-0.1610125233603879,-0.2858190462606256,-0.3488581720182979,112453.6,-0.5173752896741923
-0.1601508920443164,-0.226867758284234,-0.326561178033947,232327.7,0.2003597276196644
-0.1592892607282449,-0.3093622073435413,-0.2711682285724017,249610.8,-0.3126825679026288
-0.1587148398508639,-0.2161566933321407,-0.2914925251114366,116114.5,-0.2533096712973853
-0.1578532085347924,-0.2087763397444945,-0.283871328022011,239675.0,0.3035176616698774
-0.1569915772187209,-0.2028118500849133,-0.2678356367888522,127699.2,0.2443642889533736
-0.1555555250252684,-0.1905620511777682,-0.2411394761020675,127142.1,-0.989798182010727
-0.1546938937091969,-0.1522405872604232,-0.2144427943366855,128639.6,-1.036789598679105
