Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
-0.3182090372214936,-0.171352099153246,-0.5146220019125889,-0.1824716567725211,-0.4460382703813593
-0.3182090372214936,-0.171352099153246,-0.5038429000969481,-0.1083751802712653,-0.4282376324545975
-0.3185913066002095,-0.171352099153246,-0.4883937730355879,-0.0599954135915637,-0.4905398651982637
-0.3132395352981867,-0.1716393095919365,-0.4801622580171971,-0.0483090011694455,-0.4682890677898115
-0.3156605746967209,-0.1716393095919365,-0.4715824702129219,0.0622167298736394,-0.5172408220884065
-0.3160428440754368,-0.1716393095919365,-0.4633116918203973,0.0692979035022958,-0.5528420979419302
-0.3171896522115845,-0.1716393095919365,-0.4821583473365521,0.0089346122202525,-0.570642735868692
-0.3175719215903004,-0.1716393095919365,-0.4826335007575877,-0.0091892307733715,-0.5884433737954538
-0.3182090372214936,-0.1716393095919365,-0.4659219319081915,0.081165884478995,-0.6062440117222155
-0.3182090372214936,-0.171352099153246,-0.4496991116799123,0.1114218081650724,-0.6329449686123583
-0.3183364603477323,-0.171352099153246,-0.4305660509431802,0.2579146192474169,-0.6240446496489773
-0.294508335741107,0.0831163495265392,0.4282187843425213,0.2707399616937248,-0.6649861168805296
-0.2947631819935842,0.0503743595158219,0.3546772805006747,0.2548279538195411,-0.6578658617098248
-0.2965471057609252,0.0417580463551068,0.4692658072802469,0.3289739490175006,-0.6623160211915152
-0.2990955682856979,0.0460662029354644,0.7618772658927999,0.5729195552131028,-0.6658761487768676
-0.3059764171025844,0.0506615699545124,1.0521357187736198,0.8020920835587109,-0.6636510690360223
-0.3054667245976298,0.0569801996057035,1.231309438785245,0.9095476554061545,-0.6640960849841914
-0.2985858757807434,0.0518104117092744,1.3266394719093295,0.9983676910607004,-0.6645411009323605
-0.2996052607906525,0.0431940985485593,1.7208922179018775,1.2081949152273217,-0.6663211647250367
-0.2961648363822093,0.0325673123170107,1.9572510707431012,1.3772682520066406,-0.6640960849841914
-0.2946357588673456,0.0248126304723672,1.788392491864262,1.2887948472290216,-0.6658761487768676
-0.2962922595084479,0.0268231035432007,2.374849779624234,1.7651977219849233,-0.6663211647250367
-0.2982036064020275,0.0377371002134398,2.965870793818432,2.0960816533603235,-0.6663211647250367
-0.297311644518357,0.0457789924967739,3.054188238505597,2.3697714900427296,-0.670326308258558
-0.2990955682856979,0.0592778831152275,2.895073194537882,2.6023277959964366,-0.6676562125695438
-0.2980761832757889,0.0805314555783247,2.711242976846832,2.516033213873789,-0.6685462444658818
-0.297311644518357,0.0997745549705884,2.162680319825112,2.042089767720848,-0.6676562125695438
-0.2996052607906525,0.1135606560277325,2.2026949124924724,2.1026346275574714,-0.6681012285177128
-0.2976939138970729,0.1241874422592811,2.4385746569927296,2.268769854999026,-0.6685462444658818
-0.2970567982658798,0.1376863328777347,2.5168430134028434,2.2730944878444994,-0.6676562125695438
-0.2968019520134025,0.1497491713027358,2.3869591364143,2.045820176205874,-0.6694362763622199
-0.3289125798255392,-0.1265472707175276,0.6031929774847355,0.4765891838918,-0.6360600802495415
-0.3285303104468233,-0.1268344811562181,0.601192382024605,0.5018272129785498,-0.6458504311092605
-0.3285303104468233,-0.1262600602788371,0.705809128636866,0.6040503092076157,-0.640065223783063
-0.3305690804666415,-0.1213774828210986,1.0101545209883809,0.8795063127391272,-0.6520806543836272
-0.3291674260780164,-0.1190797993115745,1.2574456559828056,1.1669953595696845,-0.6520806543836272
-0.3285303104468233,-0.117643747118122,1.3504402865744551,1.1838317164490073,-0.6476304949019367
-0.3281480410681074,-0.11649490536336,1.4760585371809452,1.2490148275435624,-0.6467404630055986
-0.3289125798255392,-0.115346063608598,1.8112517526200973,1.5197995673526736,-0.6516356384354581
-0.3292948492042551,-0.1139100114151455,2.081644495720085,1.6972250576427153,-0.650300590590951
-0.3285303104468233,-0.113048380099074,1.8849683445258252,1.718055922722819,-0.6511906224872891
-0.3290400029517778,-0.113622800976455,1.8282938957594232,1.69635022733428,-0.6565308138653176
