,Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
2403,-0.3350288898849938,-0.17422420354015108,-0.3021341592342241,-0.32647202678743636,-0.6378401440422177
2404,-0.3349014667587552,-0.17422420354015108,-0.31034978129319013,-0.3269011888255367,-0.6342800164568654
2405,-0.33515631301123244,-0.17422420354015108,-0.306123321247101,-0.32292318685699084,-0.42378747297290703
2406,-0.33515631301123244,-0.17422420354015108,-0.3079305368003131,-0.3252175531376045,-0.46828906778981155
2407,-0.33515631301123244,-0.17422420354015108,-0.29871258224506336,-0.3171955242715741,-0.5038903436433352
2408,-0.33477404363251656,-0.17422420354015108,-0.27988085532470347,-0.30856276481286243,-0.6351700483532035
2409,-0.3349014667587552,-0.17422420354015108,-0.2757021222900494,-0.3154788761191725,-0.561742416905311
2410,-0.3349014667587552,-0.17422420354015108,-0.26645441036714235,-0.3326123451787189,-0.6329449686123583
2411,-0.3346466205062779,-0.17422420354015108,-0.2515995670359227,-0.3247553786350348,-0.6347250324050344
2412,-0.3349014667587552,-0.17422420354015108,-0.23315201949892106,-0.3234348800562644,-0.6338350005086963
2413,-0.3349014667587552,-0.17422420354015108,-0.21474321209452918,-0.31597406308621145,-0.6338350005086963
2414,-0.3349014667587552,-0.17422420354015108,-0.19926353334448646,-0.3028846209241496,-0.6338350005086963
2415,-0.3363031211473802,-0.1739369931014606,-0.5864950605194309,-0.47854394436508585,-0.5750928953503824
2416,-0.3363031211473802,-0.1739369931014606,-0.5866199547280165,-0.4761505406910645,-0.6240446496489773
2417,-0.3363031211473802,-0.1739369931014606,-0.5826988772143529,-0.472601700760619,-0.6017938522405252
2418,-0.33643054427361885,-0.1739369931014606,-0.5681904177967508,-0.4691849106880505,-0.6151443306855964
2419,-0.33643054427361885,-0.1739369931014606,-0.5473914937615795,-0.46596619540229756,-0.5973436927588346
2420,-0.33643054427361885,-0.1739369931014606,-0.5292625524483517,-0.4618231311114053,-0.6195944901672868
2421,-0.33643054427361885,-0.1739369931014606,-0.522154211482515,-0.45952876483079175,-0.6195944901672868
2422,-0.33643054427361885,-0.1739369931014606,-0.5090226686584088,-0.45543521923660335,-0.6284948091306678
2423,-0.33643054427361885,-0.1739369931014606,-0.4783551469066128,-0.4498231002768291,-0.649855574642782
2424,-0.33643054427361885,-0.1739369931014606,-0.4977798487635264,-0.4515727608936999,-0.640955255679401
2425,-0.33643054427361885,-0.1739369931014606,-0.4818942156375716,-0.448354045607947,-0.6458504311092605
2426,-0.33643054427361885,-0.1739369931014606,-0.46570785501582723,-0.4435177195632003,-0.6329449686123583
2427,-0.33643054427361885,-0.1739369931014606,-0.45911632785039336,-0.44114082212141353,-0.6284948091306678
2428,-0.3363031211473802,-0.1739369931014606,-0.4536679158627336,-0.4411738345858828,-0.6284948091306678
2429,-0.3363031211473802,-0.1739369931014606,-0.4551819976996184,-0.44119034081811737,-0.6284948091306678
2430,-0.3363031211473802,-0.1739369931014606,-0.4492801764730449,-0.4454819611991213,-0.6360600802495415
2431,-0.3363031211473802,-0.1739369931014606,-0.445292277939165,-0.4441944750848201,-0.6494105586946128
2432,-0.3363031211473802,-0.1739369931014606,-0.43590457116165177,-0.4441779688525855,-0.610694171203906
2433,-0.3363031211473802,-0.1739369931014606,-0.43773071798316665,-0.4438808566723621,-0.6538607181763034
2434,-0.3363031211473802,-0.1739369931014606,-0.43146111385695685,-0.44252734562912244,-0.6391751918867249
2435,-0.31553315157048223,-0.13832289870383827,-0.20256458802547064,-0.31292041012280486,-0.45048842986304977
2436,-0.31464118968681176,-0.13803568826514775,-0.22575280217509852,-0.3154788761191725,-0.45938874882643066
2437,-0.31413149718185723,-0.13458916300086174,-0.222401009735977,-0.32224643133537095,-0.45938874882643066
2438,-0.31323953529818677,-0.13430195256217123,-0.17142051295233882,-0.31673334976900447,-0.4638389083081212
2439,-0.31222015028827765,-0.14033337177467178,-0.08457084754569429,-0.3023894339571107,-0.472739227271502
2440,-0.31081849589965266,-0.1414822135294338,0.057922173210817524,-0.27721742979929936,-0.4771893867531925
2441,-0.30954426463726625,-0.1414822135294338,0.14945413153540382,-0.24311555400255302,-0.49053986519826376
2442,-0.3075054946174481,-0.1406205822133623,0.21900406111460557,-0.20369867142625572,-0.4949900246799543
2443,-0.30470218584019804,-0.13918453001990977,0.4222309801361771,-0.13263934165617203,-0.4994401841616447
2444,-0.30138918455799346,-0.1411950030907433,0.21760609742441164,-0.09157183585641165,-0.5083405031250257
2445,-0.2969293751396411,-0.1420566344068148,0.4048276426221416,-0.04957998105151202,-0.5172408220884065
2446,-0.2938712201099138,-0.14722642230324384,0.6741651147012505,-0.01201179648549333,-0.5261411410517874
2447,-0.29094048820642515,-0.14693921186455336,0.7811703825711612,0.04011488491146933,-0.5350414600151683
2448,-0.28902914131284557,-0.1414822135294338,0.7800784022312016,0.06573255733961572,-0.5439417789785492
2449,-0.2867355250405501,-0.13746126738776676,0.7770990477357618,0.11333653110428964,-0.5483919384602397
2450,-0.2859709862831183,-0.13401474212348072,0.5639400523710676,0.15276991991282154,-0.561742416905311
2451,-0.285716140030641,-0.1297065855431232,0.5288053497492249,0.14631598310908114,-0.561742416905311
2452,-0.285716140030641,-0.12539842896276565,0.5913414235766494,0.11429389257389817,-0.570642735868692
2453,-0.2859709862831183,-0.1210902723824081,0.8251970283608453,0.16658563629320716,-0.5750928953503824
2454,-0.2864806787880728,-0.11649490536336007,0.7600583148892542,0.17861867959225275,-0.5795430548320728
